,species,decimalLatitude,decimalLongitude
1903,Prunus serotina,30.233989,-83.869194
1524,Magnolia virginiana,30.265131,-83.855256
1998,Quercus minima,30.2786,-83.6862
2007,Quercus nigra,30.286228,-83.844947
807,Diospyros virginiana,30.286339,-83.668503
1915,Quercus alba,30.286361,-83.823806
1936,Quercus alba,30.2864,-83.8238
1515,Magnolia virginiana,30.286519,-83.852342
1669,Oxydendrum arboreum,30.29386,-83.73983
1997,Quercus michauxii,30.29975,-83.74587
1529,Nyssa biflora,30.3,-83.86
724,Salix caroliniana,30.3,-83.7333
1750,Pinus glabra,30.300132,-83.763366
787,Diospyros virginiana,30.303055,-83.765808
823,Diospyros virginiana,30.303108,-83.766067
1406,Liquidambar styraciflua,30.30471,-83.771885
764,Chamaecyparis thyoides,30.65,-86.8667
1261,Gordonia lasianthus,30.666892,-82.333179
1525,Magnolia virginiana,30.666892,-82.333179
1530,Nyssa biflora,30.666892,-82.333179
1728,Pinus elliottii,30.666892,-82.333179
2381,Taxodium distichum,30.666892,-82.333179
1262,Gordonia lasianthus,30.666893,-82.333179
2017,Quercus nigra,30.666893,-82.333179
2375,Taxodium distichum,30.666893,-82.333179
2352,Sassafras albidum,31.988855,-80.99406
2290,Quercus virginiana,33.959677,-77.925764
2276,Quercus virginiana,33.972428,-77.918847
2262,Quercus virginiana,33.973037,-77.919337
1962,Quercus laevis,33.994107,-77.912579
1963,Quercus laevis,33.998541,-77.911482
2024,Quercus nigra,33.998541,-77.911482
1757,Pinus taeda,37.019387,-76.331611
1465,Liriodendron tulipifera,37.019656,-76.332085
1767,Pinus taeda,37.019659,-76.330338
2293,Quercus virginiana,37.020214,-76.332467
1769,Pinus taeda,37.020894,-76.33214
1456,Liriodendron tulipifera,37.021129,-76.330139
1773,Pinus taeda,37.021621,-76.333088
1764,Pinus taeda,37.021706,-76.333197
1778,Pinus taeda,37.021708,-76.332695
2253,Quercus virginiana,37.022177,-76.330039
2258,Quercus virginiana,37.022694,-76.333008
2274,Quercus virginiana,37.022933,-76.331995
2294,Quercus virginiana,37.022986,-76.330481
2280,Quercus virginiana,37.023133,-76.330371
2265,Quercus virginiana,37.023167,-76.331115
2044,Quercus phellos,37.023289,-76.330763
1753,Pinus taeda,37.023463,-76.332107
1788,Pinus taeda,37.0237,-76.331475
1419,Liquidambar styraciflua,37.025052,-76.325698
350,Acer saccharinum,37.036376,-76.320158
1805,Platanus occidentalis,37.04361,-76.311943
1328,Juglans cinerea,37.06,-76.31
2012,Quercus nigra,37.060379,-76.33118
778,Cornus florida,37.064907,-76.310923
1994,Quercus michauxii,37.069973,-76.322906
2821,Ulmus americana,37.073835,-76.329144
2040,Quercus pagoda,37.074045,-76.317519
798,Diospyros virginiana,37.078162,-76.329692
829,Diospyros virginiana,37.124125,-76.330907
1798,Pinus taeda,37.214115,-75.944596
1359,Juniperus virginiana,37.240406,-75.939565
1313,Ilex opaca,37.243612,-75.945435
1932,Quercus alba,37.24365,-75.946405
2027,Quercus nigra,37.243697,-75.947192
801,Diospyros virginiana,37.244085,-75.945642
1297,Ilex opaca,37.249167,-75.94477
2359,Sassafras albidum,37.249206,-75.944825
1673,Paulownia tomentosa,37.249727,-75.948195
244,Acer rubrum,37.25246,-75.948793
1431,Liquidambar styraciflua,37.252472,-75.948744
2023,Quercus nigra,37.252482,-75.94832
1861,Prunus serotina,37.25249,-75.948304
773,Cornus florida,37.252514,-75.948832
1339,Juniperus virginiana,37.252518,-75.948403
2325,Sassafras albidum,37.252519,-75.948859
1308,Ilex opaca,37.252581,-75.948804
760,Celtis occidentalis,37.266339,-75.975339
1516,Magnolia virginiana,37.266339,-75.975339
1699,Persea borbonia,37.266339,-75.975339
1762,Pinus taeda,37.266339,-75.975339
1346,Juniperus virginiana,37.283889,-75.970833
1794,Pinus taeda,37.288047,-75.925675
1435,Liquidambar styraciflua,37.288937,-75.923553
1397,Liquidambar styraciflua,37.289266,-75.923315
1356,Juniperus virginiana,37.289297,-75.923305
1449,Liriodendron tulipifera,37.290375,-75.964775
1868,Prunus serotina,37.290375,-75.964775
