"","Species","EOO.norm","EOO.norm.issues","EOO.alpha","EOO.alpha.issue","nLocations","centroidX","centroidY","latRange","greatCircDist","meanPairDist","minSpanTree"
"75","Planera aquatica",982610,NA,119950,NA,367,-89.49799,32.92825,7.59789,1721.386,560.6522,8175.658
"76","Platanus occidentalis",3362702,NA,180512,NA,24566,-84.31069,37.72052,15.98031,3180.933,960.3685,86583.84
"77","Populus deltoides",5328504,NA,304225,NA,13082,-88.95175,39.09087,21.27751,3271.608,1175.225,70161.66
"78","Populus heterophylla",1507711,NA,114545,NA,337,-82.37205,36.66392,11.29483,1988.698,730.2787,7790.294
"79","Prunus americana",5027549,NA,333223,NA,2955,-94.27836,41.03085,19.98125,3316.146,1116.969,38207.89
"80","Prunus serotina",5911694,NA,269237,NA,25858,-79.70609,39.93609,20.27247,4074.632,895.5762,104209.5
"81","Quercus alba",3256653,NA,169835,NA,23482,-79.34961,39.82571,16.73777,2821.674,793.0705,78783
"82","Quercus bicolor",2072673,NA,175788,NA,8719,-75.91558,40.95363,11.15131,2219.015,351.264,23969.58
"83","Quercus coccinea",1609294,NA,140992,NA,3158,-76.37718,39.92449,11.93708,2019.817,463.1647,20303.22
"84","Quercus ellipsoidalis",639421,NA,73376,NA,1438,-89.88282,44.00512,8.246385,1131.772,375.5912,8408.161
"85","Quercus falcata",1797600,NA,138244,NA,4748,-83.4615,35.81228,11.7112,2325.81,823.8975,32173.81
"86","Quercus ilicifolia",430949,NA,65577,NA,2908,-73.62774,41.3805,8.01491,1370.493,313.0471,9474.978
"87","Quercus imbricaria",1314916,NA,113030,NA,1860,-86.52127,39.35219,9.2996,1929.604,568.4649,18173.04
"88","Quercus incana",1450427,NA,127877,NA,772,-85.41944,31.36262,10.47664,2142.718,647.4308,10034.95
"89","Quercus laevis",781303,NA,87560,NA,2407,-82.18633,30.54098,10.5735,1373.74,445.909,10051.77
"90","Quercus laurifolia",1659328,NA,140831,NA,1015,-83.64363,29.58089,11.66933,2200.65,568.729,13151.41
"91","Quercus lyrata",1595992,NA,148324,NA,923,-87.64435,33.94459,10.07879,2139.304,699.467,15001.58
