"","species","Intercept","Intercept.p.value","Slope","Slope.p.value","R2","R2.p.value","F.value","F.test.p.value","SES.intercept","SES.slope","SES.R2","Rank.intercept","Rank.slope","Rank.R2","P.val.intercept","P.val.slope","P.val.R2","Category","significant"
"R220","Carya cordiformis",0.0887424318545741,1,2.8142310217811e-05,0.001,0.000591182436976645,0.001,6941.38595622254,0.001,-1.11363826283013,3.27328077280025,-1.25685045418188,115,999,83,0.115,0.999,0.083,"generalists","non-significant"
"R221","Carya glabra",0.0917393614886991,0.001,-6.67375455765317e-05,0.001,0.00284690344926308,0.001,19940.827252997,0.001,-0.716939653974665,0.418824292751027,-0.395226902982599,249,689,407,0.249,0.689,0.407,"generalists","non-significant"
"R222","Carya illinoinensis",0.0614677732620513,1,0.000188597814123767,0.001,0.0107151673108619,0.001,178400.338763323,0.001,-4.72393961841082,8.10057787448102,2.6102340619494,1,1000,984,0.001,1,0.984,"shifting","significant"
"R223","Carya ovata",0.0805534384946927,1,6.24799394690307e-05,0.001,0.00288213005287097,0.001,86055.3288956249,0.001,-2.19760174225297,4.30632690788424,-0.381771306686781,11,1000,412,0.011,1,0.412,"shifting","non-significant"
"R224","Carya texana",0.099770305208183,1,0.000184294490501856,0.001,0.00561861494524096,0.001,1378.40019722525,0.001,0.346103056484544,7.97111256389984,0.66349085912383,663,1000,770,0.663,1,0.77,"generalists","non-significant"
"R225","Castanea dentata",0.0714965654372908,1,0.000813620016606669,0.001,0.18850365187882,0.001,7908042.29994037,0.001,-3.39644501889894,26.9043446078442,70.5205583446987,1,1000,1000,0.001,1,1,"shifting","significant"
"R226","Celtis laevigata",0.0415273979856873,1,8.25549911122623e-05,0.001,0.0149439230145348,0.001,891728.233416035,0.001,-7.36341404654465,4.9102839941445,4.22550274398365,1,1000,998,0.001,1,0.998,"shifting","significant"
"R227","Celtis occidentalis",0.04826554909319,1,0.000239663270550359,0.001,0.0834529716771101,0.001,5876630.54443737,0.001,-6.47149615158726,9.63687998817213,30.3940800974836,1,1000,1000,0.001,1,1,"shifting","significant"
"R228","Cercis canadensis",0.0612443824313754,0.001,-2.42607088715801e-05,0.001,0.00122833282561929,0.001,793113.442594734,0.001,-4.7535094924416,1.6967381425281,-1.01347648305687,1,942,155,0.001,0.942,0.155,"generalists","non-significant"
"R229","Chamaecyparis thyoides",0.0802968570008384,0.974,3.70015795614838e-05,0.044,0.00101465011276813,0.044,1838.12911414517,0.044,-2.23156500936176,3.53981151923564,-1.09509741794815,9,1000,129,0.009,1,0.129,"shifting","non-significant"
"R230","Cornus florida",0.0715484788321059,1,1.78451591158607e-05,0.001,0.000314709204435881,0.001,89861.9186103825,0.001,-3.38957332886338,2.96349141400613,-1.36245564522094,1,998,58,0.001,0.998,0.058,"shifting","non-significant"
"R231","Diospyros virginiana",0.0583702950104661,0.001,-4.42967632412762e-05,0.001,0.00311508202880939,0.001,543644.656622439,0.001,-5.13394768112019,1.09395428760567,-0.292790041861171,1,870,441,0.001,0.87,0.441,"generalists","non-significant"
"R232","Fagus grandifolia",0.084192434583543,1,1.91868411212343e-05,0.001,0.000271019426847707,0.001,274475.459385894,0.001,-1.71591386088272,3.00385586083566,-1.37914394182836,32,998,54,0.032,0.998,0.054,"shifting","non-significant"
"R233","Fraxinus albicans",0.202622089800681,0.995,0.00338261900636258,0.006,0.0681916870317587,0.006,85.9157827431974,0.006,13.960423326656,104.192571409575,24.5646879872145,1000,1000,1000,1,1,1,"overdisper.shifter","significant"
"R234","Fraxinus americana",0.0845645965941942,0.979,1.67314944211202e-05,0.035,0.000297008009923827,0.035,7067.25161541144,0.035,-1.66665139231719,2.92998685839852,-1.36921701597241,36,998,57,0.036,0.998,0.057,"shifting","non-significant"
"R235","Fraxinus caroliniana",0.059899632128744,1,0.000190179595084858,0.001,0.0136635211066946,0.001,2832.59265842981,0.001,-4.93151186134526,8.14816568831783,3.73642433721855,1,1000,997,0.001,1,0.997,"shifting","significant"
"R236","Fraxinus pennsylvanica",0.0193554651768054,1,0.000283436214465439,0.001,0.293728380664494,0.001,339051783.460612,0.001,-10.298276046896,10.9537871689763,110.713518376753,1,1000,1000,0.001,1,1,"shifting","significant"
"R237","Fraxinus profunda",0.101832238309724,0.998,0.0003196123683416,0.004,0.0197301803327641,0.004,195.798330649702,0.004,0.619037723892295,12.0421452402501,6.0537217502455,747,1000,1000,0.747,1,1,"generalists","non-significant"
"R238","Fraxinus quadrangulata",0.106087763093916,1,0.000585120643043644,0.001,0.0323936042381476,0.001,15314.3467860688,0.001,1.18233448689147,20.0299505429129,10.8908023183955,879,1000,1000,0.879,1,1,"generalists","non-significant"
"R239","Gleditsia aquatica",0.0615283741818752,1,0.000483463951837082,0.001,0.0819117247958988,0.001,7590.47042310465,0.001,-4.71591797508768,16.9716132538692,29.8053660659917,1,1000,1000,0.001,1,1,"shifting","significant"
"R240","Gleditsia triacanthos",0.0579964373488371,1,0.00012519235837817,0.001,0.0189587396737729,0.001,913748.624438542,0.001,-5.18343460019545,6.19302739911146,5.75905257949297,1,1000,1000,0.001,1,1,"shifting","significant"
"R241","Gordonia lasianthus",0.0519498668244631,1,0.00025318167750726,0.001,0.0172899089488476,0.001,23703.8223710506,0.001,-5.9838091195211,10.0435806941862,5.12160501938751,1,1000,1000,0.001,1,1,"shifting","significant"
"R242","Gymnocladus dioicus",0.0867707727397429,1,0.000223317929521726,0.001,0.0128093373070901,0.001,26880.5032600548,0.001,-1.37462351222824,9.14513108923907,3.41014955643521,66,1000,995,0.066,1,0.995,"generalists","non-significant"
"R243","Ilex opaca",0.0632926858260734,0.002,-1.13421653232072e-05,0.004,0.000148148321977515,0.004,34346.2758965289,0.004,-4.48237896674013,2.08539198306914,-1.42607733347626,1,972,37,0.001,0.972,0.037,"shifting","non-significant"
"R244","Juglans cinerea",0.0913782299980148,1,8.09748148797308e-05,0.001,0.00369040787216657,0.001,8959.78548405122,0.001,-0.764742030893063,4.86274445849907,-0.0730313511586924,230,1000,527,0.23,1,0.527,"generalists","non-significant"
"R245","Juglans nigra",0.0715006379142231,1,3.97411449640877e-05,0.001,0.00204738278799765,0.001,229006.347885462,0.001,-3.39590595187673,3.62223122941028,-0.700621864356148,1,1000,272,0.001,1,0.272,"shifting","non-significant"
"R246","Juniperus virginiana",0.0577511454302958,1,1.61098849996073e-05,0.001,0.000489310875949056,0.001,177260.088552352,0.001,-5.21590348493028,2.91128576503742,-1.29576259610933,1,998,76,0.001,0.998,0.076,"shifting","non-significant"
"R247","Liquidambar styraciflua",0.0402303344884295,1,6.37767090857783e-05,0.001,0.00976029703750325,0.001,9979483.85093419,0.001,-7.53510419205239,4.34534016738665,2.24549981006957,1,1000,974,0.001,1,0.974,"shifting","significant"
"R248","Liriodendron tulipifera",0.074425696370329,0.999,1.03024697930617e-05,0.005,5.62330557424273e-05,0.005,47081.1157486373,0.005,-3.0087208117435,2.73656992224997,-1.46118644389884,1,996,23,0.001,0.996,0.023,"shifting","non-significant"
"R249","Maclura pomifera",0.0511708853303403,1,0.000444946344593408,0.001,0.0232423516367024,0.001,347129.840485175,0.001,-6.08692160889154,15.8128126562901,7.39527484783011,1,1000,1000,0.001,1,1,"shifting","significant"
"R250","Magnolia acuminata",0.128853970142871,1,0.000159654089537859,0.001,0.00688976217362325,0.001,15833.6910310655,0.001,4.19585958351012,7.22980713490395,1.14903423219624,1000,1000,881,1,1,0.881,"overdisper.shifter","non-significant"
"R251","Magnolia fraseri",0.16852967029714,0.778,5.05460362703579e-05,0.489,8.02119471324803e-05,0.489,127.725151122442,0.489,9.44766625836394,3.94729593094464,-1.45202716514017,1000,1000,30,1,1,0.03,"overdisper.shifter","non-significant"
"R252","Magnolia grandiflora",0.0809235347963175,0.001,-7.46628852388602e-05,0.001,0.0019840329259414,0.001,35944.7915628537,0.001,-2.14861270816776,0.180390781587601,-0.72481977394496,12,586,255,0.012,0.586,0.255,"generalists","non-significant"
"R253","Magnolia macrophylla",0.12950702927552,1,0.000490218716312919,0.001,0.0261469852846206,0.001,37282.7711579279,0.001,4.28230393858349,17.1748300596688,8.50476522586025,1000,1000,1000,1,1,1,"overdisper.shifter","significant"
"R254","Magnolia virginiana",0.0642579803513651,0.004,-1.62080003228687e-05,0.012,0.000254796132466262,0.012,2630.59797789077,0.012,-4.35460453021059,1.93900354129347,-1.38534079526943,1,962,53,0.001,0.962,0.053,"shifting","non-significant"
"R255","Morus rubra",0.0788580068158044,0.987,1.34302370617063e-05,0.022,0.000191811188085977,0.022,2682.82411635109,0.022,-2.42202322374726,2.830668669274,-1.40939931631589,7,998,46,0.007,0.998,0.046,"shifting","non-significant"
"R256","Nyssa aquatica",0.091077213651351,0.75,2.60369787188695e-05,0.484,0.00017488408894617,0.484,32.4891771732726,0.484,-0.80458706582634,3.2099419630024,-1.41586500386896,219,998,42,0.219,0.998,0.042,"generalists","non-significant"
"R257","Nyssa biflora",0.0597147104841694,0.999,0.000158535455202053,0.002,0.00637201350672167,0.002,1948.2831660994,0.002,-4.95598963296683,7.19615306785343,0.951268443530626,1,1000,833,0.001,1,0.833,"shifting","non-significant"
"R258","Nyssa ogeche",0.123048117932219,1,0.00111210218051954,0.001,0.0209849646948274,0.001,497.672551201039,0.001,3.42734854842921,35.8841679837036,6.53301495722522,999,1000,1000,0.999,1,1,"overdisper.shifter","significant"
"R259","Nyssa sylvatica",0.0844812952424011,0.861,9.43381543831161e-06,0.263,6.2325189395418e-05,0.263,2039.91173265944,0.263,-1.67767785419866,2.71043649243939,-1.45885941595351,36,995,24,0.036,0.995,0.024,"shifting","non-significant"
"R260","Ostrya virginiana",0.073847767689649,1,7.56343406005021e-05,0.001,0.00715346827585528,0.001,344890.945320705,0.001,-3.08522027340349,4.7020765139153,1.24976272966578,1,1000,891,0.001,1,0.891,"shifting","non-significant"
"R261","Oxydendrum arboreum",0.121944440330484,0.001,-0.000167780690954744,0.001,0.00386368703593387,0.001,42321.9621795972,0.001,3.28125657341324,-2.62105449579358,-0.00684346372899249,997,6,551,0.997,0.006,0.551,"overdisperser","non-significant"
"R262","Paulownia tomentosa",0.0837567684104935,1,0.000227111549504707,0.001,0.0248480589564734,0.001,978911.764225075,0.001,-1.77358227017942,9.25926198723217,8.00861099867148,29,1000,1000,0.029,1,1,"shifting","significant"
"R263","Persea borbonia",0.0712690487088381,1,0.000115045640950904,0.001,0.00903537609505023,0.001,3076.59612344459,0.001,-3.42656103118059,5.88776383110744,1.96859989497679,1,1000,957,0.001,1,0.957,"shifting","significant"
"R264","Pinus clausa",0.081538249835345,1,0.000311227877271241,0.001,0.0111675429597147,0.001,11012.4983587042,0.001,-2.06724389721938,11.7898981782438,2.78302915093319,12,1000,987,0.012,1,0.987,"shifting","significant"
"R265","Pinus echinata",0.104577786599652,0.001,-5.04858062777147e-05,0.001,0.00119182425123054,0.001,3375.25134634256,0.001,0.982461400830884,0.907757187570466,-1.02742175702591,840,833,151,0.84,0.833,0.151,"generalists","non-significant"
"R266","Pinus elliottii",0.0480067411903098,1,0.00048183206702958,0.001,0.0377536783400105,0.001,81680.0078787063,0.001,-6.50575412476898,16.9225180679156,12.9382035959397,1,1000,1000,0.001,1,1,"shifting","significant"
"R267","Pinus glabra",0.117062707973914,0.012,-0.00011051162163326,0.032,0.00140740189633903,0.032,164.73461105569,0.032,2.63506975187266,-0.898116948487095,-0.945077009991225,990,175,173,0.99,0.175,0.173,"generalists","non-significant"
"R268","Pinus palustris",0.0585711648492393,0.78,9.22652437456059e-06,0.43,3.32164799059509e-05,0.43,525.792788079682,0.43,-5.10735887346351,2.70420014948517,-1.46997814451281,1,995,16,0.001,0.995,0.016,"shifting","non-significant"
"R269","Pinus pungens",0.173766089671678,1,0.000417032689416308,0.001,0.0120219546770213,0.001,3725.31906326072,0.001,10.1408024126499,14.9730315116514,3.10939099002684,1000,1000,992,1,1,0.992,"overdisper.shifter","significant"
"R270","Pinus rigida",0.0472079251978695,1,0.00106601653957611,0.001,0.188965767337,0.001,12000607.5102153,0.001,-6.61149207380998,34.4976834098512,70.6970737736779,1,1000,1000,0.001,1,1,"shifting","significant"
"R271","Pinus serotina",0.0715949373141566,0.997,0.000144954473420148,0.004,0.00338791639009184,0.004,437.76543373845,0.004,-3.38342369659,6.78756980085503,-0.188574799826833,1,1000,480,0.001,1,0.48,"shifting","non-significant"
"R272","Pinus taeda",0.0739125287698202,0.001,-4.1522521456172e-05,0.001,0.00245846933725402,0.001,34738.4950118541,0.001,-3.07664795654982,1.17741723529268,-0.54359807883867,1,882,336,0.001,0.882,0.336,"generalists","non-significant"
"R273","Pinus virginiana",0.0914256916834317,1,0.000298787585876348,0.001,0.0123555417821781,0.001,95897.1064132062,0.001,-0.758459606252714,11.4156325336709,3.23681211374468,232,1000,994,0.232,1,0.994,"generalists","non-significant"
"R274","Planera aquatica",0.117826115892363,0.997,0.000235818238934433,0.005,0.00714109771051863,0.005,483.038405592992,0.005,2.73612079284125,9.52120237335931,1.24503751303764,991,1000,891,0.991,1,0.891,"overdisper.shifter","non-significant"
"R275","Platanus occidentalis",0.0745981632861238,0.001,-8.96399282923909e-06,0.001,0.000132580375118319,0.001,40009.031971584,0.001,-2.98589165192929,2.15693920275291,-1.43202386214033,1,977,36,0.001,0.977,0.036,"shifting","non-significant"
"R276","Populus deltoides",0.0413086525360003,1,0.000147886385837529,0.001,0.0385437162534757,0.001,3430118.53282864,0.001,-7.39236901919273,6.87577626289762,13.2399764077698,1,1000,1000,0.001,1,1,"shifting","significant"
"R277","Populus heterophylla",0.0426525369698043,1,0.00039924418485535,0.001,0.0611990913183807,0.001,3690.58585676531,0.001,-7.21448126391074,14.437865098409,21.8937082349114,1,1000,1000,0.001,1,1,"shifting","significant"
"R278","Prunus americana",0.0858096775218108,1,0.000329937182730926,0.001,0.0898942730233561,0.001,431099.936514866,0.001,-1.50184209340211,12.352766847884,32.8544805238074,48,1000,1000,0.048,1,1,"shifting","significant"
"R279","Prunus serotina",0.0460683613603999,1,0.000107871052236112,0.001,0.0232135214919885,0.001,7944827.2251624,0.001,-6.76233425037586,5.67191663069625,7.3842625233739,1,1000,1000,0.001,1,1,"shifting","significant"
"R280","Quercus alba",0.0630149292566165,1,7.83959993260592e-05,0.001,0.00704539819876404,0.001,1956130.49973852,0.001,-4.51914514351298,4.78516090078387,1.20848292463025,1,1000,888,0.001,1,0.888,"shifting","non-significant"
"R281","Quercus bicolor",0.0285739834481853,1,0.000466048760203761,0.001,0.277320201497269,0.001,14584418.4395994,0.001,-9.07803606117045,16.4476779443891,104.446044018987,1,1000,1000,0.001,1,1,"shifting","significant"
"R282","Quercus coccinea",0.0504646183277762,1,0.000684468657555871,0.001,0.161933661544077,0.001,963197.344081355,0.001,-6.18040900152413,23.0188313904886,60.3715508642271,1,1000,1000,0.001,1,1,"shifting","significant"
"R283","Quercus ellipsoidalis",0.0748797014634325,1,0.000540517080797385,0.001,0.0352520242200691,0.001,37753.3071751248,0.001,-2.94862490999237,18.6880542444712,11.9826403436777,1,1000,1000,0.001,1,1,"shifting","significant"
"R284","Quercus falcata",0.0741751549150004,0.001,-4.92070618160898e-05,0.001,0.00269140873522733,0.001,30412.3490689043,0.001,-3.04188456896282,0.946228161037416,-0.454621618450713,1,839,379,0.001,0.839,0.379,"generalists","non-significant"
"R285","Quercus ilicifolia",0.080619838576168,1,0.00128236304543799,0.001,0.104297256998332,0.001,492173.487455271,0.001,-2.18881247351299,41.0064589599746,38.3560253215864,12,1000,1000,0.012,1,1,"shifting","significant"
"R286","Quercus imbricaria",0.0712449839234066,1,0.000242791879268341,0.001,0.0277745466614842,0.001,49390.3186474458,0.001,-3.42974644694557,9.73100405016417,9.12644902704388,1,1000,1000,0.001,1,1,"shifting","significant"
"R287","Quercus incana",0.0866859860482617,1,0.000293177264141285,0.001,0.0326686947603961,0.001,10050.6767255555,0.001,-1.38584658606257,11.2468462397022,10.9958793520313,65,1000,1000,0.065,1,1,"generalists","non-significant"
"R288","Quercus laevis",0.0627933525374184,1,0.000494832017164241,0.001,0.0464228270555499,0.001,140966.902176039,0.001,-4.54847488661397,17.313621022189,16.2495806064267,1,1000,1000,0.001,1,1,"shifting","significant"
"R289","Quercus laurifolia",0.0540351346246724,1,0.000216157969864066,0.001,0.0182479653812868,0.001,9564.99950901892,0.001,-5.70778567672324,8.92972400339781,5.48755629663826,1,1000,1000,0.001,1,1,"shifting","significant"
"R290","Quercus lyrata",0.0640033290968592,0.755,1.56686827857991e-05,0.495,0.000156502761302746,0.495,66.6025049130252,0.495,-4.38831229473583,2.89801221494954,-1.42288616682024,1,998,41,0.001,0.998,0.041,"shifting","non-significant"
"R291","Quercus macrocarpa",0.0405184074258774,1,0.000107182534529246,0.001,0.0172152098352064,0.001,1016570.52758734,0.001,-7.4969724547459,5.65120260437804,5.09307200700858,1,1000,1000,0.001,1,1,"shifting","significant"
"R292","Quercus margaretta",0.107036682185351,0.996,0.000479215423931372,0.005,0.0407122546090345,0.005,173.70727283383,0.005,1.30794133438042,16.8437964701104,14.0682985755606,896,1000,1000,0.896,1,1,"generalists","non-significant"
"R293","Quercus marilandica",0.0729360640294923,1,3.26215096909963e-05,0.001,0.00136572363611887,0.001,27359.9963834005,0.001,-3.20590097593129,3.4080373009866,-0.960996962140939,1,1000,168,0.001,1,0.168,"shifting","non-significant"
"R294","Quercus michauxii",0.0452782159804932,0.991,2.74098725330027e-05,0.012,0.000654122649362154,0.012,1672.33018133849,0.012,-6.86692448480559,3.2512454157887,-1.23280901953041,1,999,92,0.001,0.999,0.092,"shifting","non-significant"
"R295","Quercus minima",0.0721738668021599,1,0.000823019013401894,0.001,0.0519306602898381,0.001,13592.8969078837,0.001,-3.30679175972327,27.1871130320105,18.3534218194544,1,1000,1000,0.001,1,1,"shifting","significant"
"R296","Quercus muehlenbergii",0.0614997884930708,1,0.000183315692163204,0.001,0.0243801402736071,0.001,302635.921020923,0.001,-4.71970181533963,7.94166545695563,7.82987889704731,1,1000,1000,0.001,1,1,"shifting","significant"
"R297","Quercus nigra",0.0685473279748551,0.001,-5.43666979365566e-05,0.001,0.00337043213272981,0.001,136371.254234758,0.001,-3.78683069402816,0.791000724871344,-0.19525330653768,1,807,479,0.001,0.807,0.479,"generalists","non-significant"
"R298","Quercus pagoda",0.0883357965717758,0.103,-2.8830863806327e-05,0.196,0.000402889611887725,0.196,123.710361754783,0.196,-1.16746390129719,1.55924522309751,-1.32877314840461,106,930,65,0.106,0.93,0.065,"generalists","non-significant"
"R299","Quercus palustris",0.0284272053116847,1,0.000553713654005431,0.001,0.143365482456694,0.001,169447205.318783,0.001,-9.09746483984352,19.0850725956563,53.2790157867803,1,1000,1000,0.001,1,1,"shifting","significant"
"R2100","Quercus phellos",0.050462395276628,1,9.65787942755341e-05,0.001,0.0207478303095833,0.001,1217753.06973785,0.001,-6.18070326312035,5.33218952381883,6.44243612677031,1,1000,1000,0.001,1,1,"shifting","significant"
"R2101","Quercus rubra",0.0368934141025311,1,0.000336258896791027,0.001,0.125594446237611,0.001,75980508.9099146,0.001,-7.97680681325318,12.5429553500987,46.4909674190183,1,1000,1000,0.001,1,1,"shifting","significant"
"R2102","Quercus shumardii",0.0671227864252649,1,9.65529036164707e-05,0.001,0.00741205036426984,0.001,14719.0127731503,0.001,-3.97539489805367,5.33141060442738,1.34853399441117,1,1000,905,0.001,1,0.905,"shifting","non-significant"
"R2103","Quercus sinuata",0.15271827539887,0.251,-3.65492412429635e-05,0.478,0.000306030366350352,0.478,11.2818957241592,0.478,7.35473811991622,1.3270381618091,-1.36577072330498,1000,903,58,1,0.903,0.058,"generalists","non-significant"
"R2104","Quercus stellata",0.0590930000573362,1,6.12879211133133e-05,0.001,0.00765178154077395,0.001,282135.482629228,0.001,-5.0382844118056,4.27046508567416,1.4401047278962,1,1000,913,0.001,1,0.913,"shifting","non-significant"
"R2105","Quercus texana",0.0574183408448723,1,0.00127370522164631,0.001,0.10260079288643,0.001,2274.96365126142,0.001,-5.25995627634551,40.7459886945175,37.7080225656527,1,1000,1000,0.001,1,1,"shifting","significant"
"R2106","Quercus velutina",0.0647946432119133,1,9.19884472510283e-05,0.001,0.00856512025474099,0.001,230283.817276941,0.001,-4.28356735677158,5.19408912621519,1.78897506331875,1,1000,944,0.001,1,0.944,"shifting","non-significant"
"R2107","Quercus virginiana",0.0326709214629154,1,0.000165755628950462,0.001,0.0393124529069167,0.001,491158.238118899,0.001,-8.53573116601898,7.41337169208806,13.5336127225743,1,1000,1000,0.001,1,1,"shifting","significant"
"R2108","Robinia pseudoacacia",0.111809624124672,0.281,-1.33626689232414e-05,0.53,4.93987189511547e-05,0.53,285.622583951935,0.53,1.93972774868818,2.02460521705021,-1.46379697308402,968,969,20,0.968,0.969,0.02,"overdisper.shifter","non-significant"
"R2109","Salix caroliniana",0.00833223750670544,1,0.00078532568443749,0.001,0.437879182739494,0.001,987763.07783512,0.001,-11.7574024247838,26.0531108118734,165.775170644731,1,1000,1000,0.001,1,1,"shifting","significant"
"R2110","Salix nigra",0.0503084625882871,1,6.75164691396e-05,0.001,0.0139037120153839,0.001,377491.234736489,0.001,-6.20107907796328,4.45785069167117,3.82817067578764,1,1000,997,0.001,1,0.997,"shifting","significant"
"R2111","Sassafras albidum",0.0816648790312648,0.001,-3.50207164919829e-05,0.001,0.000905250414376613,0.001,593232.885513091,0.001,-2.05048220041813,1.37302376479957,-1.13688510184824,12,907,123,0.012,0.907,0.123,"generalists","non-significant"
"R2112","Taxodium distichum",0.0340458314439279,1,0.0002694825786933,0.001,0.0712810530029151,0.001,3895767.2450859,0.001,-8.35373661047167,10.5339926223197,25.7447410454266,1,1000,1000,0.001,1,1,"shifting","significant"
"R2113","Tilia americana",0.0336013232716967,1,0.000400102948324932,0.001,0.168474225031474,0.001,70057829.9528881,0.001,-8.41257542054619,14.4637009613544,62.8698667056631,1,1000,1000,0.001,1,1,"shifting","significant"
"R2114","Triadica sebifera",0.063723429018499,1,8.38030440963408e-05,0.001,0.00632528792661224,0.001,539835.553699374,0.001,-4.42536220422976,4.9478316157974,0.933420553633583,1,1000,829,0.001,1,0.829,"shifting","non-significant"
"R2115","Tsuga canadensis",0.0788915693655191,1,0.000217817049497666,0.001,0.0273983960278961,0.001,13081629.3267497,0.001,-2.41758060466476,8.9796373445533,8.98276980300299,7,1000,1000,0.007,1,1,"shifting","significant"
"R2116","Tsuga caroliniana",0.200645122321869,0.901,0.000299920311855104,0.199,0.000954044850215441,0.199,109.779822765636,0.199,13.6987354179153,11.4497105472082,-1.11824696581226,1000,1000,125,1,1,0.125,"overdisper.shifter","non-significant"
"R2117","Ulmus alata",0.0867549462631601,0.001,-5.86710317602357e-05,0.001,0.00173310698201701,0.001,16098.9485180072,0.001,-1.37671843670428,0.661505022412356,-0.820666601506769,66,763,220,0.066,0.763,0.22,"generalists","non-significant"
