"","species","Intercept","Intercept.p.value","Slope","Slope.p.value","R2","R2.p.value","F.value","F.test.p.value","SES.intercept","SES.slope","SES.R2","Rank.intercept","Rank.slope","Rank.R2","P.val.intercept","P.val.slope","P.val.R2","Category","significant"
"R260","Ostrya virginiana",0.221864472514815,1,0.000366330982883539,0.001,0.0456723540246928,0.001,2290884.27674424,0.001,-3.48797780994614,-4.23460805812639,-2.90458812281285,3,1,3,0.003,0.001,0.003,"specialists","non-significant"
"R261","Oxydendrum arboreum",0.218566204852403,1,0.000499289936091919,0.001,0.0216745030301366,0.001,241739.935756251,0.001,-4.75022293103818,4.97687585088805,-10.2966574020181,1,1000,1,0.001,1,0.001,"shifting","non-significant"
"R263","Persea borbonia",0.12708850117849,1,0.000811967090050222,0.001,0.0805675412954039,0.001,29496.1078256609,0.001,-39.7586870611626,26.639355156733,7.84419275237679,1,1000,1000,0.001,1,1,"shifting","significant"
"R264","Pinus clausa",0.0347585059063222,1,0.00111273145781748,0.001,0.0876777870925417,0.001,93711.3661111285,0.001,-75.0933226915278,47.4765087837697,10.0343650947479,1,1000,1000,0.001,1,1,"shifting","significant"
"R265","Pinus echinata",0.232775471276908,1,0.000317939403301048,0.001,0.022747041652886,0.001,65840.6210326425,0.001,0.687655086876283,-7.58720858557859,-9.96628282782035,755,1,1,0.755,0.001,0.001,"generalists","non-significant"
"R266","Pinus elliottii",0.0713087852797385,1,0.00263175560672635,0.001,0.139718190073359,0.001,324981.669581333,0.001,-61.1055519780051,152.715502980337,26.0643947936249,1,1000,1000,0.001,1,1,"shifting","significant"
"R267","Pinus glabra",0.18083756658342,1,0.00188795284005994,0.001,0.146384497509088,0.001,20044.1598786855,0.001,-19.1889509103326,101.184357079316,28.1178205946505,1,1000,1000,0.001,1,1,"shifting","significant"
"R268","Pinus palustris",0.129400976263269,1,0.0012019210497535,0.001,0.12107766768384,0.001,2180520.32677619,0.001,-38.873704187676,53.6556224962747,20.3225459532784,1,1000,1000,0.001,1,1,"shifting","significant"
"R269","Pinus pungens",0.206453440323864,1,0.00103126664235893,0.001,0.0304984172209462,0.001,9630.84650552631,0.001,-9.38577088953955,41.8325726768782,-7.57862298189341,1,1000,1,0.001,1,0.001,"shifting","non-significant"
"R270","Pinus rigida",0.134826860828805,1,0.00150596686550273,0.001,0.11434234042423,0.001,6649675.86904436,0.001,-36.7972213119812,74.7201170022428,18.2478599435831,1,1000,1000,0.001,1,1,"shifting","significant"
"R271","Pinus serotina",0.136827419574922,1,0.0010309433840044,0.001,0.0452252046017407,0.001,6099.7849711402,0.001,-36.0316086403591,41.8101771250229,-3.04232376894918,1,1000,2,0.001,1,0.002,"shifting","non-significant"
"R272","Pinus taeda",0.247483122525209,1,0.00012710838793188,0.001,0.00550664211713681,0.001,78048.0675272025,0.001,6.31626468774625,-20.8081071034769,-15.2768511698917,1000,1,1,1,0.001,0.001,"overdisperser","non-significant"
"R273","Pinus virginiana",0.238445568949446,1,0.000166097547034607,0.001,0.00265751653709023,0.001,20425.6552427784,0.001,2.8575981769536,-18.1069124638207,-16.154468656459,998,1,1,0.998,0.001,0.001,"overdisperser","non-significant"
"R274","Planera aquatica",0.257235748095744,1,0.00105715095852423,0.001,0.0779195358889601,0.001,5675.2076575136,0.001,10.0485888361275,43.6258551606747,7.02852640706184,1000,1000,1000,1,1,1,"overdisper.shifter","significant"
"R275","Platanus occidentalis",0.214617765042509,1,0.000416683504920033,0.001,0.0717729129630567,0.001,23330688.359459,0.001,-6.26128855580908,-0.746152145040675,5.13517926894784,1,218,1000,0.001,0.218,1,"generalists","non-significant"
"R276","Populus deltoides",0.24065921472822,1,0.000300142012610242,0.001,0.0418618185248112,0.001,3738307.55385883,0.001,3.70475913236257,-8.82022354256209,-4.07834915718153,1000,1,1,1,0.001,0.001,"overdisperser","non-significant"
"R277","Populus heterophylla",0.218114367229379,1,0.000916125093830435,0.001,0.122166972637669,0.001,7878.90267661825,0.001,-4.92314092726011,33.8554903072015,20.6580850682896,1,1000,1000,0.001,1,1,"shifting","significant"
"R278","Prunus americana",0.238303169435114,1,0.000258513378532362,0.001,0.0364743350897371,0.001,165219.718529285,0.001,2.80310196542419,-11.704282748125,-5.73785820245697,998,1,1,0.998,0.001,0.001,"overdisperser","non-significant"
"R279","Prunus serotina",0.212246552712562,1,0.000375173960455037,0.001,0.0544090452310435,0.001,19235827.066656,0.001,-7.16875013894819,-3.62196074373331,-0.21342103943453,1,1,397,0.001,0.001,0.397,"specialists","non-significant"
"R280","Quercus alba",0.211192288568123,1,0.000459134493190048,0.001,0.0590934123981471,0.001,17314670.5941427,0.001,-7.57221641545021,2.19488030095152,1.22950677257327,1,992,892,0.001,0.992,0.892,"shifting","non-significant"
"R281","Quercus bicolor",0.0851528661496459,1,0.00203093439472908,0.001,0.433980070324629,0.001,29140136.8249453,0.001,-55.8074302599924,111.09021342324,116.706019559943,1,1000,1000,0.001,1,1,"shifting","significant"
"R282","Quercus coccinea",0.150104681450574,1,0.00149613661654068,0.001,0.248938554270779,0.001,1652240.37950465,0.001,-30.9504082226382,74.0390708752204,59.7075947214226,1,1000,1000,0.001,1,1,"shifting","significant"
"R283","Quercus ellipsoidalis",0.234277558356738,1,0.00160439014955767,0.001,0.0532894265334899,0.001,58157.8893560081,0.001,1.26250294097199,81.5389469904989,-0.558297711120139,904,1000,285,0.904,1,0.285,"generalists","non-significant"
"R284","Quercus falcata",0.243967446005023,1,0.000140795811221154,0.001,0.00547829890395568,0.001,62077.0870268845,0.001,4.97081732290218,-19.8598333968735,-15.28558174312,1000,1,1,1,0.001,0.001,"overdisperser","non-significant"
"R285","Quercus ilicifolia",0.177788577031501,1,0.00200608092963883,0.001,0.135800351976065,0.001,664195.674965244,0.001,-20.3557974431443,109.368348981337,24.8575812899292,1,1000,1000,0.001,1,1,"shifting","significant"
"R286","Quercus imbricaria",0.227545625265357,1,0.00057934405121959,0.001,0.0382608760523102,0.001,68779.57089578,0.001,-1.3138039479297,10.5230777090902,-5.1875491531811,100,1000,1,0.1,1,0.001,"generalists","non-significant"
"R287","Quercus incana",0.144189029278647,1,0.000975994502848483,0.001,0.0861323362620622,0.001,28049.2776121307,0.001,-33.2143248771864,38.00328242277,9.55831915175489,1,1000,1000,0.001,1,1,"shifting","significant"
"R288","Quercus laevis",0.0466378697523508,1,0.00171236060847283,0.001,0.138063589945843,0.001,463815.601234751,0.001,-70.5470970388283,89.0192115454339,25.5547275415549,1,1000,1000,0.001,1,1,"shifting","significant"
"R289","Quercus laurifolia",0.106811221275139,1,0.0020240489337884,0.001,0.287134940551075,0.001,207276.959157782,0.001,-47.5187903173989,110.613184151192,71.4732454733704,1,1000,1000,0.001,1,1,"shifting","significant"
"R290","Quercus lyrata",0.259086373733929,1,0.000377995930921178,0.001,0.0212700928002166,0.001,9247.13313653504,0.001,10.7568221943197,-3.42645276993156,-10.4212280745115,1000,1,1,1,0.001,0.001,"overdisperser","non-significant"
"R291","Quercus macrocarpa",0.238867347973999,1,0.000440658132777596,0.001,0.0567865560578888,0.001,3493969.97744939,0.001,3.01901276497756,0.914825874156242,0.518924733863575,1000,833,691,1,0.833,0.691,"generalists","non-significant"
"R292","Quercus margaretta",0.206203513012747,1,0.00149921352356241,0.001,0.133125086542134,0.001,628.557789316435,0.001,-9.4814179265221,74.2522410216172,24.0335180255824,1,1000,1000,0.001,1,1,"shifting","significant"
"R293","Quercus marilandica",0.233362257281422,1,0.000291316374920401,0.001,0.0325627017161215,0.001,673375.455438172,0.001,0.912217750411363,-9.43166953852559,-6.94276046221252,818,1,1,0.818,0.001,0.001,"generalists","non-significant"
"R294","Quercus michauxii",0.244060751793229,1,0.000330612272562208,0.001,0.0228694703007588,0.001,59797.3845260589,0.001,5.00652539392228,-6.70922385071636,-9.92857107408705,1000,1,1,1,0.001,0.001,"overdisperser","non-significant"
"R295","Quercus minima",0.0318828632286473,1,0.00243876504560904,0.001,0.140852469294124,0.001,40684.126795282,0.001,-76.1938294761242,139.344989709692,26.4137873531403,1,1000,1000,0.001,1,1,"shifting","significant"
"R296","Quercus muehlenbergii",0.227673002324632,1,0.000390313753409644,0.001,0.0483619558477312,0.001,615455.939879119,0.001,-1.26505682123612,-2.5730659094862,-2.07610881381612,113,6,19,0.113,0.006,0.019,"generalists","non-significant"
"R297","Quercus nigra",0.239460029469527,1,0.000338609827736891,0.001,0.0229400975155066,0.001,946771.300971549,0.001,3.24583162950375,-6.15514795717657,-9.90681574005603,1000,1,1,1,0.001,0.001,"overdisperser","non-significant"
"R298","Quercus pagoda",0.221697880895671,1,0.000473717966707041,0.001,0.0403245909707832,0.001,12897.0565345074,0.001,-3.55173232595336,3.20523295790108,-4.55186208047853,2,1000,1,0.002,1,0.001,"shifting","non-significant"
"R299","Quercus palustris",0.0321012550291058,1,0.00250895819788022,0.001,0.375797586511287,0.001,609556438.62192,0.001,-76.110251060777,144.208017562022,98.7840418261024,1,1000,1000,0.001,1,1,"shifting","significant"
"R2100","Quercus phellos",0.153118140619051,1,0.000929068848822292,0.001,0.228351438202243,0.001,17008471.5639826,0.001,-29.7971591469587,34.7522421840221,53.3661357186069,1,1000,1000,0.001,1,1,"shifting","significant"
"R2101","Quercus rubra",0.112855070080423,1,0.00125383686310828,0.001,0.27407596586277,0.001,199721329.273386,0.001,-45.2058128856314,57.252384262227,67.4506833850719,1,1000,1000,0.001,1,1,"shifting","significant"
"R2102","Quercus shumardii",0.24385264473526,1,0.000562831821225237,0.001,0.0605402540194614,0.001,127020.957341789,0.001,4.92688294355969,9.37909953218213,1.6751780746919,1000,1000,953,1,1,0.953,"overdisper.shifter","significant"
"R2103","Quercus sinuata",0.245533320783553,1,0.00144610591853106,0.001,0.218803361343434,0.001,10322.3422630419,0.001,5.57007669228738,70.5729111428246,50.4250371327584,1000,1000,1000,1,1,1,"overdisper.shifter","significant"
"R2104","Quercus stellata",0.243134181091897,1,0.00024448304403827,0.001,0.0265475666906975,0.001,997859.108236134,0.001,4.6519273240228,-12.6763135690045,-8.79560532077067,1000,1,1,1,0.001,0.001,"overdisperser","non-significant"
"R2105","Quercus texana",0.252539150315176,1,0.00111515156363247,0.001,0.0612817412532676,0.001,1298.98835576662,0.001,8.25120358998334,47.6441753096783,1.9035787345337,1000,1000,967,1,1,0.967,"overdisper.shifter","significant"
"R2106","Quercus velutina",0.201898732355233,1,0.000644110245263241,0.001,0.10252034864889,0.001,3044946.12321625,0.001,-11.1288549869652,15.0101223186111,14.606326281201,1,1000,1000,0.001,1,1,"shifting","significant"
"R2107","Quercus virginiana",0.141776307255653,1,0.00155379475462847,0.001,0.263722182618653,0.001,4299108.40829487,0.001,-34.137672195775,78.0336646833336,64.2614026840729,1,1000,1000,0.001,1,1,"shifting","significant"
"R2108","Robinia pseudoacacia",0.220651084909723,1,0.000302796833672277,0.001,0.0140064157996315,0.001,82131.2303787173,0.001,-3.95234054253313,-8.63629578964182,-12.6586619023269,1,1,1,0.001,0.001,0.001,"specialists","non-significant"
"R2109","Salix caroliniana",0.133266312052472,1,0.00174026719681256,0.001,0.404041730141546,0.001,859683.3785462,0.001,-37.3944424234152,90.9525983783163,107.484098614273,1,1000,1000,0.001,1,1,"shifting","significant"
"R2110","Salix nigra",0.228264865336948,1,0.000390992676077893,0.001,0.0782940344922534,0.001,2274215.97862498,0.001,-1.03855118976036,-2.52602969956478,7.14388338719884,162,8,1000,0.162,0.008,1,"generalists","non-significant"
"R2111","Sassafras albidum",0.220882638392057,1,0.00033480792441718,0.001,0.0276407774421554,0.001,18611727.2175775,0.001,-3.86372515916724,-6.41854632492891,-8.45886310108684,1,1,1,0.001,0.001,0.001,"specialists","non-significant"
"R2112","Taxodium distichum",0.221020121806565,1,0.000887154511035928,0.001,0.144695909316353,0.001,8586949.42687668,0.001,-3.81111033618865,31.8483892372335,27.5976839829357,1,1000,1000,0.001,1,1,"shifting","significant"
"R2113","Tilia americana",0.0989883711486386,1,0.00135026776013928,0.001,0.295634439516256,0.001,145129547.497368,0.001,-50.5125905228038,63.9331803643198,74.0913501196324,1,1000,1000,0.001,1,1,"shifting","significant"
"R2115","Tsuga canadensis",0.192764489740792,1,0.000574590103195732,0.001,0.0623809227245902,0.001,30895628.9706284,0.001,-14.6245243367709,10.1937210567599,2.24216011785334,1,1000,994,0.001,1,0.994,"shifting","significant"
"R2116","Tsuga caroliniana",0.174499151833714,1,0.00192285180511531,0.001,0.0198535761892236,0.001,2328.55760743089,0.001,-21.6146585581538,103.602180379602,-10.8575583495007,1,1000,1,0.001,1,0.001,"shifting","non-significant"
"R2117","Ulmus alata",0.246493203830167,1,0.000283474698207383,0.001,0.0150920713867416,0.001,142092.784563211,0.001,5.9374233774019,-9.97494606950467,-12.3242469034549,1000,1,1,1,0.001,0.001,"overdisperser","non-significant"
"R2118","Ulmus americana",0.0987600429753133,1,0.00102425431366688,0.001,0.41168548472346,0.001,171514499.521213,0.001,-50.5999715822831,41.3467539233995,109.838607917442,1,1000,1000,0.001,1,1,"shifting","significant"
"R2119","Ulmus crassifolia",0.228607308020097,1,0.000523858174253614,0.001,0.00620199918740127,0.001,267880.616571707,0.001,-0.907498573568998,6.67897958319259,-15.0626600059268,191,1000,1,0.191,1,0.001,"generalists","non-significant"
"R2120","Ulmus rubra",0.220581856168187,1,0.000466238436713989,0.001,0.0698104399263266,0.001,295141.018908068,0.001,-3.97883434175961,2.68704619036531,4.53067778048657,1,998,1000,0.001,0.998,1,"shifting","significant"
"R2121","Ulmus thomasii",0.264077727427004,1,0.00019345313463137,0.001,0.00511990199013757,0.001,170.603343271792,0.001,12.6670103571935,-16.2116993255652,-15.3959789123081,1000,1,1,1,0.001,0.001,"overdisperser","non-significant"
