"","species","Intercept","Intercept.p.value","Slope","Slope.p.value","R2","R2.p.value","F.value","F.test.p.value"
"R239","Juniperus virginiana",0.236912396326549,1,2.81656166743864e-05,0.001,0.0347192007067337,0.001,13023556.1499423,0.001
"R240","Maclura pomifera",0.219983736331987,1,9.48609228617281e-05,0.001,0.0116617789834907,0.001,172130.534577839,0.001
"R241","Magnolia acuminata",0.203005553442272,1,4.83366488414208e-05,0.001,0.035292257896271,0.001,83494.7318994449,0.001
"R242","Magnolia fraseri",0.181105922208421,1,0.00016798521980179,0.001,0.0350855932692378,0.001,57895.2006046137,0.001
"R243","Magnolia grandiflora",0.154860901816653,1,0.000148095880148694,0.001,0.17538968285173,0.001,3845739.49582746,0.001
"R244","Magnolia macrophylla",0.204808294116366,1,9.00952008128565e-05,0.001,0.038393748486908,0.001,55442.5520931953,0.001
"R245","Magnolia virginiana",0.2093770224725,1,3.46089472777273e-05,0.001,0.0242278362259676,0.001,256281.456973867,0.001
"R246","Morus rubra",0.245635061941878,1,4.2100231167284e-05,0.001,0.0457618240031188,0.001,670627.710989464,0.001
"R247","Nyssa aquatica",0.236342393965525,1,7.42368073937096e-05,0.001,0.0646063289601552,0.001,12829.0085036666,0.001
"R248","Nyssa biflora",0.176130298486985,1,0.000136530866002086,0.001,0.119963666424713,0.001,41414.1100528111,0.001
"R249","Nyssa ogeche",0.236446199570078,1,0.000244172837542473,0.001,0.023613567986947,0.001,561.519295583172,0.001
"R250","Nyssa sylvatica",0.220500623378597,1,2.67530109243427e-05,0.001,0.0220052213668025,0.001,736393.431859427,0.001
"R251","Ostrya virginiana",0.221864472514809,1,3.66330982883603e-05,0.001,0.0456723540247094,0.001,2290884.27674511,0.001
"R252","Oxydendrum arboreum",0.218566204852403,1,4.99289936091897e-05,0.001,0.0216745030301286,0.001,241739.93575616,0.001
"R253","Paulownia tomentosa",0.205211448491381,1,5.09991865211906e-05,0.001,0.0602694310001874,0.001,2463866.11783047,0.001
"R254","Persea borbonia",0.128030049410302,1,8.15435580046092e-05,0.001,0.079273318965827,0.001,29052.1794320928,0.001
"R255","Pinus clausa",0.0347585059063222,1,0.000111273145781748,0.001,0.0876777870925426,0.001,93711.3661111296,0.001
"R256","Pinus echinata",0.232775471276906,1,3.17939403301064e-05,0.001,0.022747041652886,0.001,65840.6210326425,0.001
"R257","Pinus elliottii",0.0803477195212237,1,0.000292428044478789,0.001,0.127335885299507,0.001,303771.100010719,0.001
"R258","Pinus glabra",0.18083756658342,1,0.000188795284005994,0.001,0.146384497509086,0.001,20044.1598786852,0.001
"R259","Pinus palustris",0.12940097626327,1,0.000120192104975347,0.001,0.121077667683827,0.001,2180520.32677591,0.001
"R260","Pinus pungens",0.206453440323864,1,0.000103126664235892,0.001,0.0304984172209454,0.001,9630.84650552608,0.001
"R261","Pinus rigida",0.134826860828801,1,0.000150596686550287,0.001,0.114342340424245,0.001,6649675.86904532,0.001
"R262","Pinus serotina",0.136827419574921,1,0.000103094338400441,0.001,0.0452252046017407,0.001,6099.7849711402,0.001
"R263","Pinus taeda",0.247483122525214,1,1.27108387931819e-05,0.001,0.00550664211712981,0.001,78048.0675271027,0.001
"R264","Pinus virginiana",0.238445568949445,1,1.66097547034615e-05,0.001,0.00265751653708868,0.001,20425.655242766,0.001
"R265","Planera aquatica",0.257235748095745,1,0.000105715095852422,0.001,0.0779195358889547,0.001,5675.20765751318,0.001
"R266","Platanus occidentalis",0.214617765042493,1,4.16683504920196e-05,0.001,0.0717729129631066,0.001,23330688.3594765,0.001
"R267","Populus deltoides",0.240659214728229,1,3.00142012610157e-05,0.001,0.0418618185247811,0.001,3738307.55385603,0.001
"R268","Populus heterophylla",0.218114367229378,1,9.16125093830438e-05,0.001,0.122166972637659,0.001,7878.90267661757,0.001
"R269","Prunus americana",0.238303169435115,1,2.58513378532344e-05,0.001,0.0364743350897228,0.001,165219.718529217,0.001
"R270","Prunus serotina",0.212246552712547,1,3.75173960455208e-05,0.001,0.0544090452310946,0.001,19235827.0666751,0.001
"R271","Quercus alba",0.211192288568125,1,4.59134493190017e-05,0.001,0.0590934123981431,0.001,17314670.5941415,0.001
"R272","Quercus bicolor",0.0851528661496478,1,0.000203093439472905,0.001,0.433980070324621,0.001,29140136.8249444,0.001
"R273","Quercus coccinea",0.150104681450575,1,0.000149613661654067,0.001,0.248938554270771,0.001,1652240.37950458,0.001
"R274","Quercus ellipsoidalis",0.234277558356738,1,0.000160439014955765,0.001,0.0532894265334877,0.001,58157.8893560055,0.001
"R275","Quercus falcata",0.243967446005021,1,1.40795811221174e-05,0.001,0.00547829890395468,0.001,62077.0870268732,0.001
"R276","Quercus ilicifolia",0.177788577031502,1,0.000200608092963879,0.001,0.135800351976059,0.001,664195.674965212,0.001
"R277","Quercus imbricaria",0.227545625265359,1,5.79344051219549e-05,0.001,0.038260876052302,0.001,68779.5708957647,0.001
"R278","Quercus incana",0.144189029278647,1,9.7599450284848e-05,0.001,0.08613233626206,0.001,28049.2776121299,0.001
"R279","Quercus laevis",0.0466378697523501,1,0.000171236060847283,0.001,0.138063589945838,0.001,463815.601234732,0.001
"R280","Quercus laurifolia",0.10681122127514,1,0.00020240489337884,0.001,0.287134940551074,0.001,207276.959157781,0.001
"R281","Quercus lyrata",0.25908637373393,1,3.77995930921166e-05,0.001,0.0212700928002136,0.001,9247.13313653368,0.001
"R282","Quercus macrocarpa",0.238867347973995,1,4.40658132777639e-05,0.001,0.0567865560578916,0.001,3493969.97744957,0.001
"R283","Quercus margaretta",0.206203513012747,1,0.000149921352356241,0.001,0.133125086542135,0.001,628.557789316443,0.001
"R284","Quercus marilandica",0.233362257281423,1,2.91316374920395e-05,0.001,0.0325627017161215,0.001,673375.455438172,0.001
"R285","Quercus michauxii",0.244060751793232,1,3.30612272562173e-05,0.001,0.0228694703007598,0.001,59797.3845260615,0.001
"R286","Quercus minima",0.0318828632286476,1,0.000243876504560903,0.001,0.140852469294124,0.001,40684.1267952819,0.001
"R287","Quercus muehlenbergii",0.227673002324627,1,3.90313753409694e-05,0.001,0.0483619558477342,0.001,615455.939879158,0.001
"R288","Quercus nigra",0.239460029469523,1,3.38609827736931e-05,0.001,0.0229400975155085,0.001,946771.30097163,0.001
"R289","Quercus pagoda",0.22169788089567,1,4.73717966707049e-05,0.001,0.0403245909707832,0.001,12897.0565345074,0.001
"R290","Quercus phellos",0.15311814061905,1,9.29068848822315e-05,0.001,0.22835143820226,0.001,17008471.5639842,0.001
"R291","Quercus rubra",0.112855070080425,1,0.000125383686310831,0.001,0.274075965862791,0.001,199721329.273408,0.001
"R292","Quercus shumardii",0.24385264473526,1,5.6283182122523e-05,0.001,0.0605402540194553,0.001,127020.957341776,0.001
"R293","Quercus sinuata",0.245533320783553,1,0.000144610591853106,0.001,0.218803361343434,0.001,10322.3422630419,0.001
"R294","Quercus stellata",0.243134181091893,1,2.44483044038306e-05,0.001,0.0265475666907065,0.001,997859.10823648,0.001
"R295","Quercus velutina",0.201898732355229,1,6.44110245263305e-05,0.001,0.102520348648915,0.001,3044946.12321708,0.001
"R296","Quercus virginiana",0.141776307255649,1,0.000155379475462851,0.001,0.263722182618655,0.001,4299108.40829492,0.001
"R297","Robinia pseudoacacia",0.220651084909725,1,3.02796833672241e-05,0.001,0.0140064157996291,0.001,82131.2303787034,0.001
"R298","Salix caroliniana",0.133266312052472,1,0.000174026719681255,0.001,0.404041730141541,0.001,859683.378546181,0.001
"R299","Salix nigra",0.228264865336945,1,3.90992676077924e-05,0.001,0.0782940344922729,0.001,2274215.9786256,0.001
"R2100","Sassafras albidum",0.220882638392042,1,3.3480792441738e-05,0.001,0.0276407774421963,0.001,18611727.2176057,0.001
"R2101","Tilia americana",0.0989883711486395,1,0.000135026776013926,0.001,0.295634439516248,0.001,145129547.497362,0.001
"R2102","Triadica sebifera",0.250226427755709,1,7.15247007256604e-05,0.001,0.0875062409309959,0.001,8132696.16173057,0.001
"R2103","Tsuga canadensis",0.192764489740826,1,5.74590103195202e-05,0.001,0.0623809227244687,0.001,30895628.9705642,0.001
"R2104","Ulmus alata",0.246493203830172,1,2.83474698207314e-05,0.001,0.0150920713867325,0.001,142092.784563124,0.001
"R2105","Ulmus americana",0.0987600429753,1,0.000102425431366704,0.001,0.41168548472357,0.001,171514499.521291,0.001
"R2106","Ulmus crassifolia",0.228607308020089,1,5.2385817425395e-05,0.001,0.00620199918741149,0.001,267880.616572151,0.001
"R2107","Ulmus rubra",0.22058185616819,1,4.66238436713967e-05,0.001,0.0698104399263282,0.001,295141.018908075,0.001
"R2108","Ulmus thomasii",0.264077727427004,1,1.93453134631371e-05,0.001,0.00511990199014056,0.001,170.603343271892,0.001
