"","species","n","full_r2","full_constrained_var","full_unconstrained_var","geo_cor","lat_r2","lat_constrained_var","lat_unconstrained_var","long_r2","long_constrained_var","long_unconstrained_var","full_anova_p_value","full_anova_lat_p_value","full_anova_long_p_value","lat_anova_p_value","long_anova_p_value"
"11","Aesculus_flava",5,0.411752389550904,0.705876194775452,0.294123805224548,0.412317833136264,-0.185969073645824,0.110523194765632,0.889476805234369,0.59594130992625,0.696955982444687,0.303044017555312,0.283333333333333,0.408333333333333,0.141666666666667,0.533333333333333,0.075
"12","Aesculus_glabra",1273,0.613290312166322,0.61389834626669,0.38610165373331,0.420371339968839,0.46906942964299,0.469486827890126,0.530513172109873,0.259030645400436,0.259613168477951,0.740386831522049,0.001,0.001,0.001,0.001,0.001
"13","Ailanthus_altissima",6560,0.553338350701453,0.553474548795461,0.446525451204542,0.516131493985838,0.382361518562895,0.38245568512509,0.617544314874907,0.262030101989173,0.26214261455176,0.737857385448242,0.001,0.001,0.001,0.001,0.001
"14","Annona_glabra",831,0.345170956390866,0.346748857700767,0.653251142299233,-0.667346491644362,0.264826324365176,0.265712075781603,0.734287924218397,0.296028521382761,0.296876679790734,0.703123320209268,0.001,0.001,0.001,0.001,0.001
"15","Asimina_triloba",11160,0.50783275616344,0.507920966082579,0.492079033917426,0.0638945089186782,0.427449453682948,0.42750076209287,0.572499237907128,0.0813468347058951,0.081429158674467,0.918570841325533,0.001,0.001,0.001,0.001,0.001
"16","Betula_alleghaniensis",384,0.201169171673593,0.205340612030389,0.794659387969611,0.781413566585333,0.150445664349635,0.15266382188397,0.84733617811603,0.0811940488903372,0.0835930200420595,0.916406979957941,0.001,0.001,0.001,0.001,0.001
"17","Betula_lenta",245,0.360592500998124,0.36583354607191,0.63416645392809,0.797533405843174,0.256671742741139,0.259718170024986,0.740281829975014,0.242830231018522,0.245933385809429,0.75406661419057,0.001,0.001,0.001,0.001,0.001
"18","Betula_nigra",2468,0.560432322826224,0.560788680894464,0.439211319105539,0.459461648656975,0.501510336056525,0.501712399155002,0.498287600844998,0.187176043221521,0.187505521923093,0.812494478076908,0.001,0.001,0.001,0.001,0.001
"19","Betula_papyrifera",2,NA,0.999999999999999,0,1,NA,0.999999999999999,0,NA,1,0,NA,NA,NA,NA,NA
"20","Carpinus_caroliniana",3024,0.553364173879023,0.553659665659453,0.446340334340548,0.524542092184872,0.509437022811761,0.509599299681489,0.490400700318511,0.207878206260589,0.208140237948892,0.791859762051107,0.001,0.001,0.001,0.001,0.001
"21","Carya_alba",1636,0.495316250356367,0.495933600508837,0.504066399491164,0.202302385762303,0.430589977566647,0.43093824057731,0.56906175942269,0.0927303151531722,0.0932852201591947,0.906714779840805,0.001,0.001,0.001,0.001,0.001
"22","Carya_aquatica",453,0.550087830152333,0.552078591965818,0.44792140803418,-0.266787351499328,0.345676063388254,0.347123682717042,0.652876317282958,0.264363718934968,0.26599123283113,0.734008767168869,0.001,0.001,0.001,0.001,0.001
"23","Carya_cordiformis",968,0.508475539829536,0.509492136437955,0.490507863562044,-0.0158674447194483,0.426361197312719,0.426954412206915,0.573045587793085,0.0816713651161406,0.082621032784066,0.917378967215934,0.001,0.001,0.001,0.001,0.001
"24","Carya_glabra",1762,0.473388723900775,0.473986805986066,0.526013194013932,-0.137336684055254,0.400491170655667,0.400831607242461,0.599168392757539,0.0659166773491591,0.066447105130335,0.933552894869666,0.001,0.001,0.001,0.001,0.001
"25","Carya_illinoinensis",5990,0.720180767902674,0.720274212294759,0.279725787705235,0.480191734238936,0.393601315241667,0.393702567317934,0.606297432682067,0.431911019987017,0.432005875385249,0.567994124614753,0.001,0.001,0.001,0.001,0.001
"26","Carya_ovata",1411,0.500454997687356,0.501163572158721,0.498836427841279,-0.0723778196850363,0.425992599413282,0.426399696860507,0.573600303139493,0.0703411223989593,0.071000454936265,0.928999545063735,0.001,0.001,0.001,0.001,0.001
"27","Carya_texana",725,0.753480011185912,0.75416100563015,0.245838994369851,0.781391645771055,0.627146443079296,0.627661434180015,0.372338565819985,0.523130085821311,0.523788745923767,0.476211254076232,0.001,0.001,0.001,0.001,0.001
"28","Castanea_dentata",1530,0.265092983223251,0.266054274285091,0.733945725714909,0.676124469836195,0.208418809112477,0.208936520813515,0.791063479186484,0.182354638383132,0.182889396631409,0.81711060336859,0.001,0.001,0.001,0.001,0.001
"29","Celtis_laevigata",11048,0.694925670123119,0.694980902191531,0.305019097808469,0.105575145459591,0.324861174246153,0.324922289374763,0.675077710625236,0.372956436150107,0.373013197584329,0.626986802415668,0.001,0.001,0.001,0.001,0.001
"30","Celtis_occidentalis",1549,0.572668842492407,0.573220949931047,0.426779050068955,-0.0684772503764614,0.315084718303911,0.315527170036273,0.684472829963727,0.276462277740582,0.276929679369948,0.723070320630053,0.001,0.001,0.001,0.001,0.001
"31","Cercis_canadensis",20763,0.649769700582281,0.649803438208657,0.350196561791337,0.510621278319355,0.474146792122788,0.474172119798729,0.525827880201273,0.360604043967868,0.360634840420813,0.639365159579185,0.001,0.001,0.001,0.001,0.001
"32","Chamaecyparis_thyoides",378,0.60183692350605,0.603949194468883,0.396050805531116,0.860601340150525,0.527763525132337,0.529016141776548,0.470983858223451,0.446227935092372,0.447696826511225,0.552303173488774,0.001,0.001,0.001,0.001,0.001
"33","Cornus_florida",10997,0.464462110837809,0.464559516783455,0.535440483216543,0.275674634777322,0.409060104535598,0.409113845886586,0.590886154113408,0.0955245815038961,0.0956068364528317,0.904393163547169,0.001,0.001,0.001,0.001,0.001
"34","Diospyros_virginiana",14664,0.580843242763713,0.580900414796344,0.419099585203654,0.144893581664382,0.406848791393582,0.406889243634502,0.593110756365491,0.182343238104057,0.182399001369548,0.817600998630452,0.001,0.001,0.001,0.001,0.001
"35","Fagus_grandifolia",11098,0.399426945635074,0.399535186250442,0.600464813749558,0.552003722816856,0.365575181338134,0.365632352178781,0.634367647821224,0.138740255126585,0.138817867070793,0.861182132929204,0.001,0.001,0.001,0.001,0.001
"36","Fraxinus_albicans",53,0.491727961447421,0.511276886007136,0.488723113992864,0.394530136878919,0.279338967852211,0.293197833855053,0.706802166144948,0.185273457539256,0.200941275663501,0.799058724336499,0.001,0.001,0.001,0.001,0.001
"37","Fraxinus_americana",1434,0.493151309259613,0.4938587045014,0.506141295498601,0.234380508714778,0.419736044257554,0.420140973745162,0.579859026254839,0.107261966518681,0.107884951887475,0.892115048112525,0.001,0.001,0.001,0.001,0.001
"38","Fraxinus_caroliniana",558,0.571661561515832,0.573199581043603,0.426800418956397,0.0628180496638239,0.349740443398892,0.350907875277889,0.649092124722112,0.220020417955757,0.221420740365172,0.778579259634828,0.001,0.001,0.001,0.001,0.001
"39","Fraxinus_pennsylvanica",2090,0.665676004651861,0.665996085068661,0.334003914931342,0.372139032748678,0.447298077443222,0.447562654715868,0.552437345284135,0.298653986438765,0.298989719331805,0.701010280668192,0.001,0.001,0.001,0.001,0.001
"40","Fraxinus_profunda",139,0.665972861990833,0.670813835005459,0.329186164994543,-0.0114471340459356,0.563583823957621,0.566746260015899,0.433253739984103,0.0971704922396395,0.103712735049497,0.896287264950503,0.001,0.001,0.001,0.001,0.001
"41","Fraxinus_quadrangulata",425,0.659146261961229,0.660754062612355,0.339245937387646,-0.0244552487448816,0.446285614760316,0.447591544914183,0.552408455085817,0.21600383198731,0.217852879553378,0.782147120446623,0.001,0.001,0.001,0.001,0.001
"42","Gleditsia_aquatica",397,0.593465136174588,0.595518342557544,0.404481657442456,-0.423240178180372,0.38120171437833,0.382764336311718,0.61723566368828,0.283987882852479,0.285795994259417,0.714204005740583,0.001,0.001,0.001,0.001,0.001
"43","Gleditsia_triacanthos",6613,0.793012941335234,0.793075550850862,0.206924449149133,0.584590656374055,0.540559718267816,0.540629204093849,0.459370795906147,0.505588094563573,0.505662869503899,0.494337130496099,0.001,0.001,0.001,0.001,0.001
"44","Gordonia_lasianthus",1304,0.42218836863349,0.423075262925687,0.576924737074313,0.440098341873164,0.300516999225357,0.301053824245138,0.698946175754863,0.125350365772048,0.126021624125255,0.873978375874746,0.001,0.001,0.001,0.001,0.001
"45","Gymnocladus_dioicus",828,0.720570575734391,0.721246342177596,0.2787536578224,0.333291308655572,0.429133224872504,0.429823511178583,0.570176488821418,0.339591442199632,0.340390001519826,0.659609998480174,0.001,0.001,0.001,0.001,0.001
"46","Ilex_opaca",10932,0.46393861403989,0.464036694981425,0.535963305018579,0.630370542807401,0.435591519483917,0.43564315323019,0.56435684676981,0.191071310590362,0.191145313763851,0.808854686236148,0.001,0.001,0.001,0.001,0.001
"47","Juglans_cinerea",265,0.472086314988635,0.476085661087206,0.523914338912794,-0.284710224537368,0.269258644731103,0.272026604410151,0.727973395589848,0.212071548816287,0.215056126282892,0.784943873717108,0.001,0.001,0.001,0.001,0.001
"48","Juglans_nigra",4730,0.53901502734255,0.539209988210664,0.460790011789336,0.399294985420518,0.399836266422077,0.399963177763497,0.600036822236504,0.225825612751857,0.225989320594371,0.774010679405626,0.001,0.001,0.001,0.001,0.001
"49","Juniperus_virginiana",14352,0.660508522147589,0.660555834735959,0.339444165264022,0.460524630562054,0.466294190193185,0.466331379644081,0.533668620355912,0.326729895236404,0.326776809744435,0.673223190255572,0.001,0.001,0.001,0.001,0.001
"50","Liquidambar_styraciflua",24058,0.561115844869395,0.56115233189231,0.438847668107695,0.403360702677235,0.47508308339936,0.475104903115726,0.524895096884277,0.189065269657579,0.189098978546066,0.810901021453933,0.001,0.001,0.001,0.001,0.001
"51","Liriodendron_tulipifera",17185,0.382449981697732,0.382521856699862,0.617478143300133,0.335151465650586,0.344899701840645,0.344937824530249,0.655062175469757,0.07122261652474,0.071276665487931,0.928723334512068,0.001,0.001,0.001,0.001,0.001
"52","Maclura_pomifera",5661,0.617484564821062,0.617619729285789,0.382380270714208,0.408463783833176,0.35168891258946,0.351803455184409,0.64819654481559,0.313602008685696,0.31372328041561,0.686276719584388,0.001,0.001,0.001,0.001,0.001
"53","Magnolia_acuminata",937,0.421205899107379,0.422442638639201,0.577557361360798,0.462795093469502,0.356064247635119,0.356752213182518,0.643247786817482,0.21914071120325,0.219974962580169,0.780025037419831,0.001,0.001,0.001,0.001,0.001
