"","intercepts","slopes","R2"
"247",0.056349346857566,0.0009323068566861,0.394102656559404
"248",0.0643613591233279,0.000949670334672462,0.38037569120407
"249",0.0605370892758019,0.000938171263276778,0.379391843972574
"250",0.060060661508149,0.000916583509249274,0.383596228265692
"251",0.0599029475606934,0.000915548702013023,0.378517460403791
"252",0.0607165942730497,0.000925926926154149,0.378984073532229
"253",0.0611007390774096,0.000911428150853671,0.379722431226772
"254",0.0598902006811909,0.000905719147692716,0.380823383752534
"255",0.0582881087547181,0.000900147322431275,0.382436290222397
"256",0.0590424983605851,0.000920121598443061,0.391228923636816
"257",0.0577251095728577,0.000905329859035394,0.380596747122171
"258",0.0589192518803379,0.00091305373231044,0.38070057874226
"259",0.0627237623396062,0.000933539975031875,0.375677116724291
"260",0.0632510213640873,0.000966563792413504,0.387213942876533
"261",0.0582473132846048,0.000937216533678909,0.391150224574564
"262",0.0621572068016837,0.000961949175078697,0.385114454277712
"263",0.061098579243882,0.000919492783404097,0.381780556465648
"264",0.0570105652742264,0.000902797022388625,0.379398109609189
"265",0.0596263965814235,0.000957865837815982,0.394273796762553
"266",0.0604448060736847,0.000923140394208245,0.380140004290121
"267",0.0617281895622596,0.000956025140197784,0.38632546599879
"268",0.0567135723193425,0.000923016702258005,0.390563955302531
"269",0.0662053781205489,0.0009506933186538,0.371637426881049
"270",0.0598210256362195,0.000963914768835091,0.384015889914673
"271",0.0572024386390355,0.00094183304541373,0.397447493237924
"272",0.0630602693078063,0.000946511649295884,0.380476371766005
"273",0.0560437993885395,0.000921539029712316,0.392930762960054
"274",0.0575149473148191,0.000923217075546251,0.388763719861467
"275",0.0580995694872412,0.000929943243974746,0.389032818669308
"276",0.0574738673412198,0.000931566690854993,0.399879597913816
"277",0.0630757783337294,0.000939853000740595,0.37387829898277
"278",0.0572548453296275,0.000947382604176795,0.393624059021932
"279",0.0625440171409848,0.000979556753909991,0.386516740138378
"280",0.0621537276062422,0.000941359352326454,0.37963855250454
"281",0.0584422414015231,0.000930456326627611,0.383921081520114
"282",0.0604079420421183,0.000973151269829077,0.386392505334573
"283",0.0628491719989442,0.000989838253439624,0.389937910190874
"284",0.0623756297980031,0.000943156079970401,0.387892495976808
"285",0.0600345494858268,0.000936788835477351,0.380770245233701
"286",0.0599883827211979,0.000954465308527338,0.38244972498434
"287",0.0610513287628397,0.00093507915494204,0.380229483257539
"288",0.0612840305065046,0.000923316951796203,0.375858168033566
"289",0.0570843337065323,0.000961317867206413,0.403231874407526
"290",0.058242475727377,0.000888901793345262,0.378234739798003
"291",0.05690723497261,0.000917915287118111,0.390731589955181
"292",0.0558793768742849,0.000908564631996317,0.397205908754601
"293",0.0599169685415447,0.000949650196214155,0.380562805793354
"294",0.0648759528634311,0.000946405280137423,0.36986305717812
"295",0.059477142606352,0.000945965508748291,0.381172403087118
"296",0.061805441280997,0.000923122048966004,0.374935506227598
"297",0.0605068877114187,0.000930602522828316,0.379501981578582
"298",0.0647807587843835,0.000940800256487776,0.369181603772541
"299",0.0596537979880162,0.0009326346123652,0.379207398443999
"300",0.0608970016794959,0.000970243727180402,0.391228730101098
"301",0.0598628985113898,0.000941879685988448,0.381757924236064
"302",0.0598256212931213,0.000917062919371765,0.379791577336813
"303",0.0659613471563896,0.000970022215928325,0.382779157552572
"304",0.0584909703864999,0.000903544580345388,0.378951419832291
"305",0.0554176319691108,0.00090327573464305,0.391327946133366
"306",0.0583987494409228,0.000908588378801788,0.383722865041829
"307",0.0588215153103901,0.000933748421410058,0.384273423532207
"308",0.0632487415513305,0.000916300762570169,0.373072917576216
"309",0.0591635362250533,0.000906748974383875,0.378834725364475
"310",0.059281419053215,0.000911194799922713,0.379642929300315
"311",0.060555115520839,0.000930671351698264,0.379316755372797
"312",0.0602515954049412,0.000942511704411916,0.389627752463694
"313",0.0657435898690931,0.000943008611255911,0.368418500673072
"314",0.0661661891898823,0.000963676878365594,0.369268780094161
"315",0.0593826082509105,0.000919379712295653,0.381880219275283
"316",0.058966121973356,0.000931185260096391,0.392243801786916
"317",0.0585699967247789,0.000928301250970756,0.382140818846779
"318",0.0598437473676216,0.000939810448831826,0.388306454201819
"319",0.0632367359210968,0.000979911509726003,0.387206563910208
"320",0.0599132758911869,0.00094802727689048,0.391828842444537
"321",0.064320754199697,0.000955655175772591,0.377945801374509
"322",0.0599817742543416,0.000927324102293589,0.382893246401746
"323",0.060956295155428,0.000939728355516933,0.381333206605667
"324",0.0624663569490475,0.00093169120633347,0.38377869416072
"325",0.0603797079548766,0.000964491413233474,0.381452215986138
"326",0.0606190771166152,0.000937954243842784,0.37890893203643
"327",0.0616628851932909,0.000956953878387572,0.387395950303098
"328",0.062080609642809,0.000948896968804377,0.384901677745652
"329",0.0626069938903649,0.000922380771483887,0.375406151735184
"330",0.0598563432222257,0.000971100275457792,0.392781905946248
"331",0.0591853059312358,0.000931977713771607,0.382335644789433
"332",0.0566801905343232,0.000913726526136825,0.389815913545886
"333",0.0582170106916136,0.000933801993675723,0.391910844483698
"334",0.0614872730509321,0.000922216622310038,0.38519875760502
"335",0.0598682499471108,0.00094161402921901,0.385423462049613
"336",0.0583698619561515,0.000905062458522702,0.378599103036822
"337",0.0647003817157558,0.000964386252735464,0.371231557761619
"338",0.0610544194159851,0.00092176915870106,0.379134261255971
"339",0.0556495590266835,0.000891221624489796,0.387429466038526
"340",0.06498908949632,0.000999481300422113,0.385881502883266
"341",0.0616856291059503,0.000981694167495772,0.390301409728465
"342",0.0607295917375891,0.000943583862963769,0.377092496754868
"343",0.0609818166028464,0.000954925321186967,0.388992582359113
"344",0.0574195140880395,0.000897837438707084,0.386909616079821
"345",0.0576183150367194,0.000913906813005622,0.389711292069566
"346",0.0597587046722197,0.000948073357912138,0.390128319764014
"347",0.0584853782673274,0.000893901102162445,0.376671189383426
"348",0.0602028777452433,0.000914334066963716,0.375931345416814
"349",0.0632236923621988,0.000991737077060992,0.385445320061918
"350",0.0615611420317083,0.000959211366164044,0.38699474016257
"351",0.0596173791538163,0.000917714463518033,0.380791508640613
"352",0.0627984739882081,0.000954467575626455,0.377341685276589
"353",0.0604615711408984,0.000947124025302328,0.386239001502682
"354",0.0594171485464707,0.000921422651212534,0.386719505428433
"355",0.0592676936851742,0.000979657065007835,0.389891218342105
"356",0.0585468719838107,0.000936114681864094,0.388392087737687
"357",0.059308386678399,0.000947768348964366,0.394300258064977
"358",0.0598347282876413,0.000933391869593106,0.38288171877539
"359",0.0565383182631818,0.00090593938696182,0.386486743859595
"360",0.0582218805885813,0.0009345928974237,0.386536708971334
"361",0.0637793780961731,0.00095005430190861,0.380073278338302
"362",0.0584231312359142,0.000916440988458763,0.381268933002038
"363",0.0609728663268944,0.000953692651482142,0.38523679752028
"364",0.057984232063306,0.000965046227618008,0.395076779806109
"365",0.0590945899653108,0.000930964523292113,0.381768754476378
"366",0.0589673913697841,0.000926955465711387,0.389441791248963
"367",0.0558976075144137,0.000887702788108141,0.387992409055485
"368",0.0561627637421892,0.000916305619790533,0.392570746972556
