,species,n,Intercept,Slope,Slope.p.value,R2,F.value,F.test.p.value
R235,Juglans_cinerea,265,0.153720109,1.32E-07,0.001,0.117062839,4637.503283,0.001
R236,Juglans_nigra,4730,0.094285022,1.07E-07,0.001,0.246943148,3667495.555,0.001
R237,Maclura_pomifera,5661,0.035938409,4.93E-07,0.001,0.709586636,39144285.2,0.001
R238,Magnolia_acuminata,937,0.17545799,1.25E-07,0.001,0.097938114,47610.07506,0.001
R239,Magnolia_fraseri,1741,0.17195821,2.74E-07,0.001,0.048378987,77003.45282,0.001
R240,Magnolia_grandiflora,5434,0.123416489,9.07E-08,0.001,0.190886858,3482539.568,0.001
R241,Magnolia_macrophylla,1729,0.060248798,3.43E-07,0.001,0.570742097,1986231.025,0.001
R242,Magnolia_virginiana,2997,0.099057281,1.42E-07,0.001,0.386040949,2822879.442,0.001
R243,Morus_rubra,4303,0.081658052,1.11E-07,0.001,0.329426613,4546990.333,0.001
R244,Nyssa_aquatica,696,0.130997261,1.27E-07,0.001,0.207868134,63467.42653,0.001
R245,Nyssa_biflora,721,0.096394201,1.61E-07,0.001,0.302173706,112394.164,0.001
R246,Nyssa_ogeche,261,0.145102227,8.49E-07,0.001,0.269153114,12494.85636,0.001
R247,Nyssa_sylvatica,3031,0.107256148,7.69E-08,0.001,0.101502445,518749.8479,0.001
R248,Ostrya_virginiana,2150,0.095922225,9.25E-08,0.001,0.146949843,397959.6706,0.001
R249,Oxydendrum_arboreum,4535,0.122684064,1.16E-07,0.001,0.082668036,926488.0517,0.001
R250,Paulownia_tomentosa,3900,0.095583074,8.06E-08,0.001,0.131538073,1151564.908,0.001
R251,Persea_borbonia,603,0.115913508,9.61E-08,0.001,0.278109895,69923.69585,0.001
R252,Pinus_clausa,798,0.07691212,5.10E-07,0.001,0.48257411,296581.6986,0.001
R253,Pinus_echinata,2185,0.1282013,7.24E-08,0.001,0.097490234,257740.6504,0.001
R254,Pinus_elliottii,1320,0.090682136,3.01E-07,0.001,0.481821642,809458.8335,0.001
R255,Pinus_glabra,482,0.130624103,1.78E-07,0.001,0.243363775,37284.07977,0.001
R256,Pinus_palustris,4737,0.110826038,1.35E-07,0.001,0.355293603,6181735.444,0.001
R257,Pinus_pungens,486,0.187382057,2.23E-07,0.001,0.050180177,6226.32241,0.001
R258,Pinus_rigida,306,0.171797015,2.15E-07,0.001,0.091376693,4692.715444,0.001
R259,Pinus_serotina,339,0.077328214,2.60E-07,0.001,0.576802429,78082.75983,0.001
R260,Pinus_taeda,4928,0.085440186,1.15E-07,0.001,0.466160209,10601015.06,0.001
R261,Pinus_virginiana,2250,0.120129711,8.53E-08,0.001,0.047586654,126415.7928,0.001
R262,Planera_aquatica,417,0.127734759,1.87E-07,0.001,0.242918132,27829.56795,0.001
R263,Populus_deltoides,5366,0.050268644,1.46E-07,0.001,0.581025745,19961739.18,0.001
R264,Populus_heterophylla,257,0.138421755,1.32E-07,0.001,0.236287639,10177.18971,0.001
R265,Prunus_americana,454,0.052130702,1.34E-07,0.001,0.353139689,56137.31516,0.001
R266,Prunus_serotina,6898,0.076261925,6.82E-08,0.001,0.249387128,7903353.554,0.001
R267,Quercus_alba,6707,0.106457109,7.05E-08,0.001,0.086011729,2116308.001,0.001
R268,Quercus_bicolor,258,0.125425958,8.58E-08,0.001,0.103187971,3814.382838,0.001
R269,Quercus_coccinea,641,0.192724911,7.71E-09,0.299,0.000289395,59.3773729,0.299
R270,Quercus_falcata,3627,0.102443546,1.12E-07,0.001,0.251929423,2214529.886,0.001
R271,Quercus_ilicifolia,75,0.18139494,8.50E-07,0.001,0.229592112,826.3920138,0.001
R272,Quercus_imbricaria,785,0.075781258,1.81E-07,0.001,0.298856215,131162.0224,0.001
R273,Quercus_incana,680,0.106698594,1.54E-07,0.001,0.407004544,158450.2105,0.001
R274,Quercus_laevis,1772,0.081162833,2.64E-07,0.001,0.514333893,1661724.706,0.001
R275,Quercus_laurifolia,807,0.102062104,1.51E-07,0.001,0.388991007,207046.4884,0.001
R276,Quercus_lyrata,934,0.126241648,1.18E-07,0.001,0.172736518,90978.0949,0.001
R277,Quercus_macrocarpa,5002,0.049303985,3.29E-07,0.001,0.780722815,44532174.36,0.001
R278,Quercus_margaretta,86,0.120457832,1.85E-07,0.001,0.436789505,2833.0297,0.001
R279,Quercus_marilandica,5487,0.102097154,1.25E-07,0.001,0.345413775,7942066.167,0.001
R280,Quercus_michauxii,2030,0.079197996,9.87E-08,0.001,0.279428447,798621.8188,0.001
R281,Quercus_minima,500,0.063218981,4.77E-07,0.001,0.541617409,147400.2062,0.001
R282,Quercus_muehlenbergii,3550,0.077736477,2.02E-07,0.001,0.49570571,6192187.365,0.001
R283,Quercus_nigra,8709,0.101409045,8.78E-08,0.001,0.257657226,13161171.04,0.001
R284,Quercus_pagoda,759,0.116717294,1.31E-07,0.001,0.2539385,97911.09021,0.001
R285,Quercus_palustris,614,0.14393177,5.41E-08,0.001,0.058956505,11790.06682,0.001
R286,Quercus_phellos,4495,0.059024371,1.36E-07,0.001,0.489427247,9681957.932,0.001
R287,Quercus_rubra,2270,0.170985989,4.48E-10,0.857,2.39E-06,6.144542753,0.857
R288,Quercus_shumardii,2001,0.087010457,1.37E-07,0.001,0.410660706,1394326.254,0.001
R289,Quercus_sinuata,284,0.167059245,1.72E-07,0.001,0.287120929,16184.60677,0.001
R290,Quercus_stellata,7344,0.087511773,1.17E-07,0.001,0.376266342,16265685.06,0.001
R291,Quercus_texana,215,0.058709659,3.48E-07,0.001,0.546013479,27665.90518,0.001
R292,Quercus_velutina,1740,0.118823417,5.11E-08,0.001,0.050733193,80857.84404,0.001
R293,Quercus_virginiana,3992,0.083774456,9.75E-08,0.001,0.363084814,4541179.166,0.001
R294,Robinia_pseudoacacia,1504,0.157434754,7.18E-08,0.001,0.047026529,55774.81825,0.001
R295,Salix_caroliniana,1456,0.059064126,1.55E-07,0.001,0.790673896,4000990.901,0.001
R296,Salix_nigra,6537,0.069115285,1.20E-07,0.001,0.428111024,15992088.26,0.001
R297,Sassafras_albidum,13271,0.115882286,7.56E-08,0.001,0.091922767,8913430.151,0.001
R298,Thuja_occidentalis,172,0.095669884,2.54E-07,0.001,0.114129924,1894.370799,0.001
R299,Tilia_americana,610,0.140184609,7.61E-08,0.001,0.057601428,11353.01163,0.001
R2100,Tsuga_canadensis,4742,0.152915375,1.18E-07,0.001,0.039553873,462932.2449,0.001
R2101,Tsuga_caroliniana,484,0.157635788,2.49E-07,0.001,0.052717531,6504.750261,0.001
R2102,Ulmus_alata,4433,0.086228248,8.28E-08,0.001,0.219766663,2766971.66,0.001
R2103,Ulmus_americana,5386,0.062679428,1.27E-07,0.001,0.536190683,16764932,0.001
R2104,Ulmus_crassifolia,9676,0.021505943,3.54E-07,0.001,0.61999537,76368872.19,0.001
R2105,Ulmus_rubra,1196,0.103086023,1.06E-07,0.001,0.224027222,206310.9034,0.001
R2106,Ulmus_thomasii,10,0.318118908,9.03E-09,0.953,0.000335026,0.014410952,0.953
