"","species","n","pc1.var","pc2.var","pc1.high.temp.loading","pc1.low.temp.loading","pc1.moisture.loading","pc2.high.temp.loading","pc2.low.temp.loading","pc2.moisture.loading","pc1.full.mod.intercept","pc1.full.mod.lat.slope","pc1.full.mod.long.slope","pc1.full.mod.lat.p.value","pc1.full.mod.long.p.value","pc1.full.mod.adj.R2","pc2.full.mod.intercept","pc2.full.mod.lat.slope","pc2.full.mod.long.slope","pc2.full.mod.lat.p.value","pc2.full.mod.long.p.value","pc2.full.mod.adj.R2","pc1.lat.mod.intercept","pc1.lat.mod.lat.slope","pc1.lat.mod.lat.p.value","pc1.lat.mod.adj.R2","pc2.lat.mod.intercept","pc2.lat.mod.lat.slope","pc2.lat.mod.lat.p.value","pc2.lat.mod.adj.R2","pc1.long.mod.intercept","pc1.long.mod.long.slope","pc1.long.mod.long.p.value","pc1.long.mod.adj.R2","pc2.long.mod.intercept","pc2.long.mod.long.slope","pc2.long.mod.long.p.value","pc2.long.mod.adj.R2"
"41","Gleditsia_triacanthos",6613,0.68404,0.96988,0.680540021305988,0.563122134303854,-0.468784322751858,-0.0374403785867738,-0.612232737217491,-0.789790664372818,-8.84517997189831,-0.291409361411847,-0.198945292628884,0,0,0.879603971278199,-28.5831811805786,0.376419201038543,-0.167147862002338,0,0,0.648477296646707,16.6986362309868,-0.490459779886982,0,0.667732470741656,-7.12203369991167,0.209183015456341,0,0.290592530304548,-28.1560739966891,-0.298480748773791,0,0.724421217309379,-3.63891973017689,-0.0385759565029784,3.73947617540388e-44,0.0288119098121175
"42","Gordonia_lasianthus",1304,0.38009,0.71245,-0.703397848894797,0.538012744481841,0.464514534697559,0.00321822069275183,-0.651095556569831,0.758988945420548,17.7337472335456,-0.23778195545942,0.130265245826437,5.10073802631546e-51,1.30407578851024e-14,0.158574712600562,-34.9120857800189,0.396298681544283,-0.282751214200824,1.96887327904749e-209,1.47209868906343e-107,0.531850107613835,5.5526802011521,-0.185830883476807,2.88363652795443e-38,0.119946023572108,-8.47209810855742,0.283534693045846,1.22232940674282e-111,0.320599979167125,1.20625281798954,0.0147837478218944,0.366307891023441,-0.000140679300915325,-7.36657992588283,-0.090284274001195,2.86729700497881e-09,0.0259895356950813
"43","Gymnocladus_dioicus",828,0.52662,0.92661,0.756542910121582,0.51210082923134,-0.40668853665347,0.0403299058451577,-0.657254499774292,-0.752588879283348,11.9453010638995,-0.66736938840258,-0.143846818908727,1.19606885759552e-195,1.54599912685371e-145,0.824898954358929,-41.7402461495136,0.693806811648844,-0.171818619443345,2.25442363088423e-162,1.07897400373033e-143,0.664859758894996,31.7061234873741,-0.844020884545396,1.4161659075784e-171,0.610633267111821,-18.136823747654,0.482804466097367,8.49116927716384e-57,0.262382359660404,-18.6327578759897,-0.204213486378733,2.15622547084713e-121,0.485072518892169,-9.95085642296951,-0.109060563987008,4.93548000561797e-38,0.181394467954176
"44","Ilex_opaca",10932,0.56283,0.92386,-0.676876737967882,-0.720183280426641,-0.152229840017922,0.346523095980896,-0.129298440796401,-0.929087540094815,-15.3486488118007,0.439870801448384,-0.00119751966770898,0,0.490207421307043,0.688565630295116,-1.33362811727103,0.107930543907388,0.0287759391483494,5.70641571204343e-107,4.88102961642686e-35,0.130991014649051,-15.19368650268,0.438291192170596,0,0.688580557971024,-5.05731307860197,0.145887950104106,6.33136291511934e-303,0.11885870038735,10.9877726491654,0.131312870978842,0,0.27058079109995,5.1285064083592,0.0612898466156552,3.55704295861393e-231,0.0918360389671571
"45","Juglans_cinerea",265,0.48891,0.90584,0.76230036694893,0.601410426105785,-0.239172845283039,0.174133061718202,-0.546487655156379,-0.819163548736348,-7.51016821017851,-0.234633927090058,-0.187790758468426,9.64438052560092e-06,6.38616102921009e-28,0.364782405795526,-26.9837680016134,0.728278676742384,-0.00441159266152801,3.44426548889407e-52,0.689923925441591,0.606958177067227,1.89392710483691,-0.0518420025764767,0.408070355997423,-0.001188484871816,-26.7628463853508,0.73257283647286,1.16710805366057e-55,0.608214236658374,-14.4086524914287,-0.168251226901704,7.26761034064574e-24,0.317996328371221,-5.57160878753406,-0.0650602139843799,9.74303943099399e-05,0.0526201694942007
"46","Juglans_nigra",4730,0.59916,0.92735,-0.70361472101265,-0.597511094765713,0.384586552035,0.00932804266435248,0.533414330485622,0.845802659993824,-5.49208719516251,0.336755355982792,0.0742504724820479,0,2.88982322734684e-264,0.612704373820862,16.5631634128862,-0.310057263008246,0.0630558000637708,0,2.2249096576834e-239,0.429429409268822,-15.1151238504527,0.424418558357746,0,0.500227395339356,8.39098275115339,-0.235610957454549,0,0.281349335441477,10.4827066317264,0.119726666844536,0,0.347959515923544,1.85485732928726,0.0211849757233116,1.89152256970218e-22,0.0196899906057861
"47","Juniperus_virginiana",14352,0.62559,0.94799,0.700319723291432,0.545218462834235,-0.460748426968217,-0.00698646751529543,-0.640194078093721,-0.768181444481307,2.34013868881626,-0.30694552070577,-0.0920748433143647,0,0,0.723058414772826,-19.2644750409503,0.35056686287437,-0.0793234815740285,0,0,0.597854468813758,14.795932599721,-0.427599989438945,0,0.558004042201867,-8.53367275863563,0.246621722346642,0,0.36015019496816,-12.7487375738062,-0.141752900433724,0,0.496498892375056,-2.0312539679584,-0.0225854630553549,2.92396072758613e-79,0.0243906341819125
"48","Liquidambar_styraciflua",24058,0.54337,0.8702,-0.524064462472403,-0.701517790028799,-0.482938121757457,0.675669750431369,0.00274711750043009,-0.737199322908974,-9.76895698588482,0.388781620609323,0.0401696475700205,0,0,0.879876960761204,-4.16948462871828,0.037259968593219,-0.034222292097333,6.4714765771407e-52,3.84684026601592e-171,0.032424163480973,-14.2867579004231,0.421417636208514,0,0.853536476219354,-0.32057103629943,0.00945590940196576,3.37633484790838e-05,0.000672937363145998,10.0232906574176,0.11802595192007,0,0.271592285897273,-2.27263949385091,-0.0267607164952758,6.67110221747289e-125,0.0231754478471566
"49","Liriodendron_tulipifera",17185,0.5485,0.92977,0.717623396719903,0.693385115567064,-0.0650672113298101,0.232394897252774,-0.326493322726948,-0.916184873235522,18.0371021211066,-0.424774916209002,0.0352282085012329,0,4.70178426670522e-52,0.355747423037879,-6.63980317912744,0.31679935752722,0.0557603538708576,0,3.15607293900095e-197,0.415330642045839,14.3060094117208,-0.402129583092054,0,0.347085196320576,-12.5454980370719,0.3526431271041,0,0.384007753790481,-3.23846594451377,-0.038997260986305,4.59346426156173e-47,0.0119516957831367,9.22762692801856,0.111118097815978,0,0.140222727794887
"50","Maclura_pomifera",5661,0.58308,0.88157,0.673002049473103,0.36786593595187,-0.641671952457997,-0.157172054780023,0.918860040327771,0.361929788059884,-99.8655743583796,-0.291333027156438,-1.12652051694768,1.55098372378358e-162,0,0.515354771796269,103.630784116788,-0.755200219319014,0.817643730455019,0,0,0.905733637637029,16.8366463078814,-0.522528695238899,0,0.260552662669672,18.9267440017533,-0.587395296397435,0,0.643448431236094,-132.222148795544,-1.36336116848786,0,0.447913618661326,19.7553225878847,0.203699909074394,4.27905366563018e-26,0.0193634362313398
"51","Magnolia_acuminata",937,0.64874,0.97559,-0.703222432113422,-0.660605642047231,0.262827693875378,0.0241891064122762,0.347230168920875,0.937467917809541,-3.68238739965974,0.382018965504991,0.117028788466487,2.06526088792954e-49,6.6674519666763e-30,0.429561420361438,12.498262694165,-0.376665418118354,-0.0105330684151298,3.43358041183436e-81,0.148702623618352,0.392111973384645,-18.2926383651746,0.514615737554294,2.01043539189171e-88,0.345703693835579,13.8132448878502,-0.388599668570077,3.76576145658617e-103,0.391403989685709,16.0039723824342,0.189242916799951,5.96382200111435e-69,0.280005129002627,-6.91221586348634,-0.0817352005051441,4.14325454791286e-24,0.103000768690379
"52","Magnolia_fraseri",1741,0.65095,0.99201,0.710913882836364,0.67786472845435,-0.187352238065187,0.0344491973894018,-0.299643128604316,-0.953429204649954,22.3531572163008,-0.534639207157542,0.0388618389319654,3.28559635743403e-17,0.423331265518442,0.0642491968497526,-47.0177533037338,1.10474311579014,-0.0903472791036744,1.50472731336793e-195,0.000322006596638834,0.523413480294101,17.9091230820428,-0.500061868088122,3.16700796972064e-27,0.0644421845291456,-36.686116836994,1.02435658264033,8.81311838413083e-280,0.520127565170585,-20.2836802083217,-0.245894541842094,1.04592622469828e-11,0.0256873505767135,41.0841890778235,0.498054482544087,5.59854592587515e-89,0.205059795695758
"53","Magnolia_grandiflora",5434,0.456,0.78384,0.697911944687201,-0.660641857789844,-0.27653436169654,-0.056111386319528,0.334495976882384,-0.940725227563713,-21.8597115292552,0.437488331428983,-0.0981867952568382,0,0,0.464410635273036,12.873287375345,-0.123652464217624,0.105576851578814,8.61714673413911e-59,0,0.311716738515329,-12.9943918806489,0.423825054955744,0,0.286892832283346,3.34071698956826,-0.108960817458789,1.89942160129211e-33,0.0262074257720514,-7.99287595514924,-0.0929146486851566,5.87612382747249e-207,0.159137330625601,8.95394080891629,0.104086722886294,0,0.277912159613165
"54","Magnolia_macrophylla",1729,0.67891,0.97872,-0.643562592564067,-0.68561505662591,-0.340234012967644,-0.377444668846307,-0.102426489922583,0.920350116054559,-5.15528208864387,0.553876098782008,0.163826565831498,0,1.00535858951607e-109,0.909106293784862,-20.4316955906782,0.126968445406416,-0.187045766505267,8.66641073912997e-16,6.08257746158649e-37,0.0892477180757685,-23.5572920594953,0.679701062823083,0,0.878956230017728,0.578438161229496,-0.0166897380213378,0.149899327180009,0.000621789650246396,44.9135197206237,0.524033907231439,0,0.616838113435886,-8.95411433547643,-0.104473208739909,3.01262063841178e-23,0.0549901871360493
"55","Magnolia_virginiana",2997,0.49137,0.81982,-0.193564920874941,-0.699735610335769,-0.687679210849584,0.97689197621334,-0.0727109593847219,-0.200985529815826,-5.80413658607783,0.314017460260895,0.0496801687804119,0,2.8170104691079e-143,0.840799310838939,-8.38098831974713,0.020304001866064,-0.0921501206129612,0.000173980775848521,1.33356054464806e-147,0.20764284449913,-10.8493481126945,0.341549138304205,0,0.802287592896596,0.977209571056723,-0.030763607496981,6.18736193466142e-08,0.0094075148283258,9.83722849226639,0.117179208145148,1.0048908107475e-183,0.243229120924012,-7.36963593993157,-0.0877857116400317,5.8824202995725e-151,0.204169519630675
"56","Morus_rubra",4303,0.53503,0.90588,-0.736471163936622,-0.447750385669767,0.507079694744733,-0.0154778405212307,-0.738248285401521,-0.674351470343554,2.35906126175983,0.21577280052361,0.107728395215799,0,0,0.651431576228177,-16.3749731620184,0.310633258739747,-0.06587640727809,0,0,0.683198216546206,-9.31158379773504,0.275984796408711,0,0.376650328603795,-9.23832023409507,0.273813347369046,0,0.53498582276112,11.7554374694389,0.131380659740264,0,0.435255022018256,-2.84765667609928,-0.0318258689897612,5.28591053139964e-37,0.0366363035383389
"57","Nyssa_aquatica",696,0.57615,0.89887,-0.236861866003539,-0.697183694621585,-0.676632361321211,0.963126209114902,-0.0770231144091665,-0.257789342608788,-16.3488333625174,0.509654988706864,0.0106490858104846,0,0.00013153374739143,0.916019119706422,-8.18304486921996,0.0152647023400683,-0.088452489675206,0.293243045357494,2.18952851304521e-40,0.242194677439043,-17.5925126254424,0.519120453472481,0,0.914350908711606,2.14709324036648,-0.0633564994561834,3.59757224136719e-05,0.0229116912030798,8.14931024534257,0.0940322720125311,1.13667231686772e-28,0.161804778955354,-7.4492997311471,-0.0859550756485714,6.29267104642365e-44,0.24207854810181
